snapshot_date,pool_path,pool_sha256,replay_top3_count,replay_codes,replay_sort_keys,replay_reasons,is_exact_match,discrepancy_count
2026-01-02,backtest/ibd_skill_replay_pools/2026-01-02/breakout_follow_pool.csv,8ba6d6e322e3593db43ce82339b57078354425b470a9c87664182316f41cef3b,1,FTAI,"(0, 1, 0, -4, 0, 1, 0, 1, -1.7109331147482558, 'FTAI', 0)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;near_52w_high;pullback_structure,True,0
2026-01-09,backtest/ibd_skill_replay_pools/2026-01-09/breakout_follow_pool.csv,7b8b2ceb6032c3090ce064fb4d18a19db6e422eb2fd61ebc1e35b483a11dc1b1,1,GH,"(0, 1, 0, -5, 0, 1, 1, 0, -1.7289082358775412, 'GH', 17)",near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high;pullback_structure;dry_pullback,True,0
2026-01-16,backtest/ibd_skill_replay_pools/2026-01-16/breakout_follow_pool.csv,0957ff517c21c7114836ac6a1140904d7ba905cfb37ab1a7336df55c543bbac8,2,"BKR,FE","(0, 0, 0, -4, 0, 1, 1, 0, -1.6124771306162669, 'BKR', 16) | (0, 1, 0, -5, 0, 1, 1, 0, -1.963137060301905, 'FE', 18)",near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high;pullback_structure;dry_pullback,True,0
2026-01-23,backtest/ibd_skill_replay_pools/2026-01-23/breakout_follow_pool.csv,bfc5c6a1b377df7dcbbc8825f880295e5bfce75443aa0fda6172884d49daae85,2,"MTB,MDT","(0, 0, 0, -4, 0, 0, 1, 0, -1.7659229528520548, 'MTB', 7) | (0, 0, 0, -3, 0, 1, 1, 0, -1.592536214065112, 'MDT', 10)",near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;weekly_volume_follow_through,True,0
2026-01-30,backtest/ibd_skill_replay_pools/2026-01-30/breakout_follow_pool.csv,f03027ec33a44daff9ddbcbedff52657b30a5913928690649ac99eb7dcc819f5,3,"HON,AAOI,ZM","(0, 0, 0, -5, 0, 0, 0, 0, -1.6633727485838388, 'HON', 9) | (0, 0, 0, -4, 0, 0, 0, 0, -2.443582210566355, 'AAOI', 1) | (0, 0, 0, -4, 0, 1, 0, 0, -3.5896878625881583, 'ZM', 7)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through,True,0
2026-02-06,backtest/ibd_skill_replay_pools/2026-02-06/breakout_follow_pool.csv,cdfdaf5c4f935f613e8fa12cff3f809368a0ca6969fd51cb9d49d2edebae3e17,0,,,,True,0
2026-02-13,backtest/ibd_skill_replay_pools/2026-02-13/breakout_follow_pool.csv,104f9373886106706efd12fc20805fa80c4377cb7cd6f8a384d5cda315494727,1,WULF,"(0, 0, 0, -3, 0, 0, 1, 0, -2.2589028629542973, 'WULF', 13)",near_buy_point;volume_confirms_breakout;weekly_volume_follow_through,True,0
2026-02-20,backtest/ibd_skill_replay_pools/2026-02-20/breakout_follow_pool.csv,ab54882e791c9e0b34cf18e3dfe9bd0aa1e42b6608e8ce800e011702d6f78c83,3,"FANG,HEI,UAL","(0, 1, 0, -4, 0, 1, 1, 0, -1.7843439599194195, 'FANG', 12) | (0, 1, 0, -4, 1, 1, 0, 0, -1.5364325054337504, 'HEI', 17) | (0, 2, 0, -2, 0, 1, 1, 1, -1.6043372643898532, 'UAL', 3)",near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high;pullback_structure | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high;pullback_structure | near_buy_point;volume_confirms_breakout,True,0
2026-02-27,backtest/ibd_skill_replay_pools/2026-02-27/breakout_follow_pool.csv,06d48b4dde52a6552c1f6dd0d63e5e1fc5a32daa5f4948170d4f6ee90449c5f7,3,"GMED,EQIX,EXPE","(0, 0, 0, -4, 0, 0, 0, 0, -1.5007093681613497, 'GMED', 3) | (0, 0, 0, -4, 0, 0, 1, 0, -1.845843294180062, 'EQIX', 12) | (0, 0, 0, -4, 0, 1, 0, 0, -1.6360471378951136, 'EXPE', 5)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through | near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through,True,0
2026-03-06,backtest/ibd_skill_replay_pools/2026-03-06/breakout_follow_pool.csv,3d2debdff6063d1ac49fdf6c82ef90cb03190726fb371efbb466eca10aa0556c,2,"FIGS,RTX","(0, 1, 0, -5, 0, 1, 0, 0, -2.927203899071957, 'FIGS', 0) | (0, 1, 0, -4, 1, 1, 0, 0, -2.109645537374721, 'RTX', 8)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;pullback_structure;dry_pullback | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high;pullback_structure,True,0
2026-03-13,backtest/ibd_skill_replay_pools/2026-03-13/breakout_follow_pool.csv,ac3a1d6fb1589f17f0fc8eb6dbedbb948a03aef73caa455571f7e7c7391ad7d9,1,DOCN,"(0, 1, 0, -3, 1, 1, 0, 1, -1.8260653671246825, 'DOCN', 1)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;near_52w_high;pullback_structure,True,0
2026-03-20,backtest/ibd_skill_replay_pools/2026-03-20/breakout_follow_pool.csv,f3c6561dcca75086a749a479e188c77cb330ee0fb98fee9da14acd81c1764bed,1,LMND,"(0, 0, 0, -3, 0, 1, 0, 1, -2.176558941231044, 'LMND', 7)",near_buy_point;volume_confirms_breakout;eps_acceleration_support,True,0
2026-03-27,backtest/ibd_skill_replay_pools/2026-03-27/breakout_follow_pool.csv,5483b4df6b21a2cdb5ed8abebd5c708f196fa45d522bed57a0f8da2ca5a01c68,2,"DELL,CASY","(0, 0, 0, -4, 0, 1, 0, 0, -1.8407157779114107, 'DELL', 0) | (0, 1, 0, -3, 1, 1, 0, 1, -1.7666946874451517, 'CASY', 8)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through | near_buy_point;volume_confirms_breakout;eps_acceleration_support;near_52w_high;pullback_structure,True,0
2026-04-02,backtest/ibd_skill_replay_pools/2026-04-02/breakout_follow_pool.csv,8d2acf9572fbed94ef4a12f6f93f6217b63903db2542d3d4eb58d32dd8e785aa,3,"MRVL,INVA,PFIS","(0, 0, 0, -5, 0, 1, 0, 0, -2.406028542057799, 'MRVL', 10) | (0, 0, 0, -3, 0, 0, 0, 1, -2.63418106516534, 'INVA', 21) | (0, 1, 0, -5, 0, 0, 0, 0, -2.377803335250144, 'PFIS', 37)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_acceleration_support | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high;pullback_structure,True,0
2026-04-10,backtest/ibd_skill_replay_pools/2026-04-10/breakout_follow_pool.csv,0e8a4a8fa763cf08ac1c0d5b99f60c8050a65ea5b6c83f5bb0c288f24a8ab5da,3,"FRAF,SPIR,HLIO","(0, 0, 0, -5, 0, 1, 0, 0, -4.251876779704893, 'FRAF', 49) | (0, 0, 0, -4, 0, 0, 1, 0, -6.768676828498409, 'SPIR', 10) | (0, 0, 0, -3, 0, 0, 1, 0, -1.592695559647192, 'HLIO', 14)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;weekly_volume_follow_through,True,0
2026-04-17,backtest/ibd_skill_replay_pools/2026-04-17/breakout_follow_pool.csv,75bbc4a874b2e84b59975c4836873c9687a1ca3d34f81a7f9404784c314fc267,3,"AMLX,ALB,CVEO","(0, 0, 0, -5, 0, 1, 0, 0, -2.360510333377026, 'AMLX', 41) | (0, 0, 0, -4, 0, 1, 0, 0, -2.567567321473123, 'ALB', 71) | (0, 1, 0, -5, 0, 0, 0, 0, -2.0475160848011815, 'CVEO', 36)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high;pullback_structure,True,0
2026-04-24,backtest/ibd_skill_replay_pools/2026-04-24/breakout_follow_pool.csv,af2bf26c6a613e8cccea47c8df35bdd16ad139af7679546aa5707af08a2a7055,3,"WSFS,MCRI,SANM","(0, 0, 0, -4, 0, 0, 0, 1, -1.771831584566037, 'WSFS', 74) | (0, 0, 0, -4, 0, 0, 1, 0, -4.464522986978475, 'MCRI', 47) | (0, 0, 0, -4, 0, 1, 1, 0, -1.8373951658499812, 'SANM', 36)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;near_52w_high | near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high,True,0
2026-05-01,backtest/ibd_skill_replay_pools/2026-05-01/breakout_follow_pool.csv,4bcb5810e67af204e1377c85b77e2f0ef3a36db6cfff64ec839897796a6cffea,3,"RBB,IRM,BEN","(0, 0, 0, -5, 0, 0, 0, 0, -2.7977968377497056, 'RBB', 35) | (0, 0, 0, -5, 0, 1, 0, 0, -3.3043550104652444, 'IRM', 29) | (0, 0, 0, -5, 0, 1, 0, 0, -2.2374398317650503, 'BEN', 16)",geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,True,0
2026-05-08,backtest/ibd_skill_replay_pools/2026-05-08/breakout_follow_pool.csv,b79fb3f5f29c199d7368e2da39ef8bf484d60a155e4686394d824c68af986bc8,3,"FTNT,KRYS,CTS","(0, 0, 0, -5, 0, 0, 0, 0, -1.6252932081479756, 'FTNT', 63) | (0, 0, 0, -5, 0, 1, 0, 0, -2.2218782021511085, 'KRYS', 103) | (0, 0, 0, -5, 0, 1, 0, 0, -1.8237927230624769, 'CTS', 41)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,True,0
2026-05-15,backtest/ibd_skill_replay_pools/2026-05-15/breakout_follow_pool.csv,29c701230167fcd6b67f42a89d8c56c04b210816fec2570ab03bbb0d59308a33,3,"HLIO,CVS,AIZ","(0, 0, 0, -5, 0, 0, 0, 0, -2.9419838945827235, 'HLIO', 52) | (0, 0, 0, -5, 0, 0, 0, 0, -1.622106648070288, 'CVS', 16) | (0, 0, 0, -4, 0, 1, 0, 1, -1.6516204725145227, 'AIZ', 58)",geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;eps_acceleration_support;near_52w_high,True,0
2026-05-22,backtest/ibd_skill_replay_pools/2026-05-22/breakout_follow_pool.csv,0bbe143c229fb08e497c2726f9280c19b6ad6ba025aaed9721810537f435ce93,3,"CMPR,PDLB,ELMD","(0, 0, 0, -5, 0, 0, 0, 0, -3.1105353555937234, 'CMPR', 18) | (0, 0, 0, -5, 0, 1, 0, 0, -3.3883323512080143, 'PDLB', 69) | (0, 1, 0, -5, 0, 1, 0, 0, -2.6154458598726116, 'ELMD', 31)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high;pullback_structure,True,0
2026-05-29,backtest/ibd_skill_replay_pools/2026-05-29/breakout_follow_pool.csv,d71ddbcc4ea7649d856934606f780393e901dc77f2bce055063ca188d27f24eb,3,"BWA,NBIX,ILMN","(0, 0, 0, -5, 0, 1, 0, 0, -2.5996567820196277, 'BWA', 61) | (0, 0, 0, -4, 0, 0, 0, 1, -1.6165769039137463, 'NBIX', 49) | (0, 0, 0, -4, 0, 1, 1, 0, -1.5145320941727023, 'ILMN', 17)",geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_acceleration_support;near_52w_high | near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high,True,0
2026-06-05,backtest/ibd_skill_replay_pools/2026-06-05/breakout_follow_pool.csv,a47548a2a719a1bb95daf33fdc65301de2d40cd79e3a74ebcf53f51bc3eb01bf,3,"TWIN,AMG,TBBB","(0, 0, 0, -5, 0, 1, 0, 0, -2.1296871461386653, 'TWIN', 32) | (0, 0, 0, -4, 0, 0, 0, 1, -1.6517765018632935, 'AMG', 52) | (0, 0, 0, -4, 0, 0, 1, 0, -3.710017717069322, 'TBBB', 50)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;eps_acceleration_support;near_52w_high | near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high,True,0
2026-06-12,backtest/ibd_skill_replay_pools/2026-06-12/breakout_follow_pool.csv,2bd29d35c4856135e538b26e21295d2391dd87d6d45a6ef34d3e90b2394df0c5,3,"CWBC,AD,WTS","(0, 0, 0, -5, 0, 0, 0, 0, -1.6403327529502805, 'CWBC', 209) | (0, 0, 0, -4, 0, 0, 0, 0, -1.8896559557765609, 'AD', 235) | (0, 0, 0, -4, 0, 0, 0, 1, -1.7310500473538917, 'WTS', 219)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through | near_buy_point;volume_confirms_breakout;eps_acceleration_support;near_52w_high,True,0
2026-06-18,backtest/ibd_skill_replay_pools/2026-06-18/breakout_follow_pool.csv,61753a16177817a6ac2fb98750e2f893f0e4073ac46dea45dae728e882c154e4,3,"TER,ADI,GEV","(0, 1, 0, -4, 1, 1, 0, 0, -4.71001892064711, 'TER', 3) | (0, 1, 0, -4, 1, 1, 0, 0, -2.8503897221704557, 'ADI', 36) | (0, 1, 0, -3, 1, 0, 0, 0, -1.630543291755674, 'GEV', 82)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high;pullback_structure | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high;pullback_structure | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;pullback_structure,True,0
2026-06-26,backtest/ibd_skill_replay_pools/2026-06-26/breakout_follow_pool.csv,2c5e4f19e2a0fa952aaf5e9e28c4b946b712b068d7c3a688f194f846832e7e27,3,"EGBN,ADPT,QCRH","(0, 0, 0, -5, 0, 0, 0, 0, -4.209364229559158, 'EGBN', 56) | (0, 0, 0, -5, 0, 0, 0, 0, -2.682593619798308, 'ADPT', 61) | (0, 0, 0, -5, 0, 1, 0, 0, -4.7699616159312885, 'QCRH', 59)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,True,0
2026-07-02,backtest/ibd_skill_replay_pools/2026-07-02/breakout_follow_pool.csv,abc58adbc3b52744439bbc73ee36c14798309f04cacbba418a425a20ddc863a4,3,"BMRC,BSET,PACS","(0, 0, 0, -4, 0, 0, 0, 0, -1.879151013679522, 'BMRC', 79) | (0, 0, 0, -4, 0, 0, 1, 0, -4.546502690238278, 'BSET', 26) | (0, 0, 0, -4, 0, 1, 0, 1, -1.5933043881206037, 'PACS', 32)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through | geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high | geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_acceleration_support;near_52w_high,True,0
2026-07-10,backtest/ibd_skill_replay_pools/2026-07-10/breakout_follow_pool.csv,6dfc1b6042ad9e8016036425965423573191b384c1012b0ba78a8093386c7520,3,"BSVN,RAPP,LASR","(0, 1, 0, -4, 0, 1, 1, 0, -2.019607843137255, 'BSVN', 65) | (0, 1, 0, -4, 1, 1, 0, 0, -2.734927941684593, 'RAPP', 56) | (0, 1, 0, -2, 1, 0, 0, 1, -3.1728644618793647, 'LASR', 4)",near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high;pullback_structure | geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high;pullback_structure | near_buy_point;volume_confirms_breakout;eps_acceleration_support;pullback_structure,True,0
2026-07-17,backtest/ibd_skill_replay_pools/2026-07-17/breakout_follow_pool.csv,3271b081bb0ed93b5429fd8081f419301438cf2be56ac77ec1c46039d983ec60,3,"CZFS,BIIB,IRM","(0, 0, 0, -5, 0, 1, 0, 0, -1.5797131573477448, 'CZFS', 48) | (0, 0, 0, -4, 0, 0, 0, 0, -1.8864175929852445, 'BIIB', 107) | (0, 0, 0, -4, 0, 0, 0, 0, -1.7630462068990274, 'IRM', 38)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through,True,0
2026-07-24,backtest/ibd_skill_replay_pools/2026-07-24/breakout_follow_pool.csv,cdbc470ff1fc2482193b6223089b9dc89aa840748c4677ac6b177bed960ffbb6,3,"IMAX,PKG,PCAR","(0, 0, 0, -4, 0, 0, 0, 0, -5.816685398052541, 'IMAX', 45) | (0, 0, 0, -4, 0, 1, 1, 0, -1.8609151130028176, 'PKG', 26) | (0, 0, 0, -4, 0, 1, 1, 0, -1.556774180995064, 'PCAR', 67)",geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through | near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high,True,0
2026-07-31,backtest/ibd_skill_replay_pools/2026-07-31/breakout_follow_pool.csv,ca2b58ebfa8ce8f8abae13cb71edbdb8612cd09973bcade8dce6b69a4548e14e,3,"SHOO,NBBK,GSAT","(0, 0, 0, -4, 0, 0, 0, 0, -2.024783509536206, 'SHOO', 37) | (0, 0, 0, -4, 0, 0, 1, 0, -2.446938522941741, 'NBBK', 77) | (0, 1, 0, -5, 0, 0, 1, 0, -1.738181840327524, 'GSAT', 38)",near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through | geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high;pullback_structure;dry_pullback,True,0
2026-08-07,backtest/ibd_skill_replay_pools/2026-08-07/breakout_follow_pool.csv,b54765fb4a28d423490639d2d883f447b43bd5e980ba12f43e2d3d27d876d29f,3,"CFFI,MTUS,SWK","(0, 0, 0, -5, 0, 0, 0, 0, -49.56896551724138, 'CFFI', 41) | (0, 0, 0, -5, 0, 0, 0, 0, -2.3888469437859357, 'MTUS', 70) | (0, 0, 0, -5, 0, 0, 0, 0, -1.5289629710359054, 'SWK', 38)",geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high | near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,True,0
