original_code,resolved_code,action,bars_count,first_price_date,last_price_date,status,source
ANAB,ANAB,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
ANDG,ANDG,CACHE_HIT,170,2025-12-17,2026-08-21,OK,results_pkl
ANET,ANET,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ANRO,ANRO,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AOSL,AOSL,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
APEI,APEI,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
APGE,APGE,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
APLD,APLD,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
APLE,APLE,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
APP,APP,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
ARCB,ARCB,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
ARGX,ARGX,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
ARM,ARM,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ARMK,ARMK,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AROC,AROC,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AROW,AROW,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ARWR,ARWR,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ARXS,ARXS,CACHE_HIT,89,2026-04-16,2026-08-21,OK,results_pkl
AS,AS,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ASB,ASB,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ASH,ASH,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ASIC,ASIC,CACHE_HIT,301,2025-06-11,2026-08-21,OK,results_pkl
ASML,ASML,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ASND,ASND,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ASTC,ASTC,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
ASTS,ASTS,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
ASX,ASX,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ASYS,ASYS,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
ATEX,ATEX,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ATI,ATI,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ATLC,ATLC,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ATLO,ATLO,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
ATRO,ATRO,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AU,AU,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
AUPH,AUPH,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
AVA,AVA,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
AVBC,AVBC,CACHE_HIT,266,2025-08-01,2026-08-21,OK,results_pkl
AVBH,AVBH,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AVBP,AVBP,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AVGO,AVGO,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
AVT,AVT,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AWR,AWR,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AXGN,AXGN,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
AXS,AXS,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
AXSM,AXSM,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
AXTI,AXTI,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
AZN,AZN,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
AZZ,AZZ,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BAC,BAC,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BAND,BAND,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BAP,BAP,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BATRA,BATRA,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BBIO,BBIO,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BBT,BBT,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BCAL,BCAL,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BCAX,BCAX,CACHE_HIT,486,2024-09-13,2026-08-21,OK,results_pkl
BCML,BCML,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
