metric,mature_eval_weeks,total_calendar_weeks,l2_b0_median,l1_eligible_median,l0_signal_median,level_lift_total_pct,level_lift_screening_pct,level_lift_ranking_pct,weekly_spread_total_pct,weekly_spread_screening_pct,weekly_spread_ranking_pct,active_rank_weeks_count,active_rank_spread_screening_pct,active_rank_spread_ranking_pct,active_rank_win_rate_l2_vs_l1_pct,win_rate_l2_vs_l0_pct,win_rate_l2_vs_l1_pct,win_rate_l1_vs_l0_pct,p_val_total_wilcoxon,p_val_screening_wilcoxon,p_val_ranking_wilcoxon
Week 1 Executed Return,40,40,0.83015,0.3193,0.10704166666666666,0.7231083333333334,0.21225833333333333,0.51085,0.9710499999999999,-0.04738333333333328,0.0,21,-0.06119999999999981,0.0,47.61904761904761,60.0,25.0,47.5,0.36820016943056544,0.6948266715426143,0.4688451964332785
Week 2 Executed Return,40,40,0.7126583333333333,0.3260916666666667,-0.36602500000000004,1.0786833333333332,0.6921166666666667,0.38656666666666656,2.7543,0.916225,0.0,21,0.6459666666666668,0.0,47.61904761904761,57.49999999999999,25.0,57.49999999999999,0.06037505036195625,0.09112075750402696,0.28597919066405675
Week 4 Executed Return,38,40,1.7124916666666667,0.8901583333333332,-0.714,2.4264916666666667,1.6041583333333331,0.8223333333333336,2.7697333333333334,1.043075,0.0,19,0.12,2.378633333333333,57.89473684210527,71.05263157894737,28.947368421052634,63.1578947368421,0.014225371530029283,0.10165930716171004,0.02618364809706873
Executed Return (to As-Of Secondary),40,40,2.3388333333333335,2.1410333333333336,-0.8430833333333334,3.181916666666667,2.984116666666667,0.19779999999999998,0.1584000000000001,0.16034999999999988,0.0,21,3.8794666666666657,2.172233333333333,57.14285714285714,50.0,30.0,52.5,0.1919052034080042,0.3856892363856862,0.08538899791882958
