comparison_name,comparison_type,var_a,var_b,horizon,horizon_status,segment,paired_weeks,paired_median_spread_pct,paired_mean_spread_pct,win_rate_pct,wilcoxon_p,boot_ci95_low,boot_ci95_high,mean_worst_pick_spread_pct,mean_stop8_rate_diff_pct,mean_all_stopped_rate_diff_pct,mean_profit20_rate_diff_pct
Industry Diversity Alpha (E1 - E0),ALPHA_DECOMPOSITION,E1_INDUSTRY_DIVERSE,E0_BASE,W1,PRIMARY,Contaminated validation weeks 31-40,10,0.005,0.1301,50.0,0.6523,-0.2292,0.4772,-0.3439,0.0253,0.0064,0.0571
Industry Diversity Alpha (E1 - E0),ALPHA_DECOMPOSITION,E1_INDUSTRY_DIVERSE,E0_BASE,W2,PRIMARY,Contaminated validation weeks 31-40,10,-0.0148,0.0432,40.0,1.0,-0.3395,0.4283,-0.4148,0.0253,0.0064,0.0571
Industry Diversity Alpha (E1 - E0),ALPHA_DECOMPOSITION,E1_INDUSTRY_DIVERSE,E0_BASE,W3,DIAGNOSTIC_ONLY,Contaminated validation weeks 31-40,9,-0.0305,-0.0648,33.33,0.8438,-0.4733,0.3181,-0.4928,0.0276,0.0072,0.0634
Industry Diversity Alpha (E1 - E0),ALPHA_DECOMPOSITION,E1_INDUSTRY_DIVERSE,E0_BASE,W4,PRIMARY,Contaminated validation weeks 31-40,8,-0.0343,0.078,50.0,0.9453,-0.352,0.5182,-0.3116,0.0271,0.0081,0.0714
Ranking Alpha (B0 - E1),ALPHA_DECOMPOSITION,B0_REFERENCE,E1_INDUSTRY_DIVERSE,W1,PRIMARY,All historical,40,0.0,0.6235,30.0,0.6102,-0.3252,1.9835,0.858,-0.0466,-0.0032,0.0461
Ranking Alpha (B0 - E1),ALPHA_DECOMPOSITION,B0_REFERENCE,E1_INDUSTRY_DIVERSE,W2,PRIMARY,All historical,40,0.0,0.9118,30.0,0.3737,-0.3363,2.5391,0.6357,-0.0466,-0.0032,0.0461
Ranking Alpha (B0 - E1),ALPHA_DECOMPOSITION,B0_REFERENCE,E1_INDUSTRY_DIVERSE,W3,DIAGNOSTIC_ONLY,All historical,39,0.0,1.1163,30.77,0.1769,-0.1547,2.7226,0.6142,-0.0505,-0.0032,0.0473
Ranking Alpha (B0 - E1),ALPHA_DECOMPOSITION,B0_REFERENCE,E1_INDUSTRY_DIVERSE,W4,PRIMARY,All historical,38,0.0,2.0182,34.21,0.0602,0.172,4.7063,0.7749,-0.0497,-0.0033,0.0486
Ranking Alpha (B0 - E1),ALPHA_DECOMPOSITION,B0_REFERENCE,E1_INDUSTRY_DIVERSE,W1,PRIMARY,Train-era weeks 1-30,30,0.0,0.8587,26.67,0.4548,-0.2932,2.5892,0.87,-0.0371,0.0078,0.0369
Ranking Alpha (B0 - E1),ALPHA_DECOMPOSITION,B0_REFERENCE,E1_INDUSTRY_DIVERSE,W2,PRIMARY,Train-era weeks 1-30,30,0.0,1.149,26.67,0.2783,-0.3855,3.167,0.3407,-0.0371,0.0078,0.0369
Ranking Alpha (B0 - E1),ALPHA_DECOMPOSITION,B0_REFERENCE,E1_INDUSTRY_DIVERSE,W3,DIAGNOSTIC_ONLY,Train-era weeks 1-30,30,0.0,1.1514,26.67,0.2661,-0.3878,3.105,0.7658,-0.0371,0.0078,0.0369
Ranking Alpha (B0 - E1),ALPHA_DECOMPOSITION,B0_REFERENCE,E1_INDUSTRY_DIVERSE,W4,PRIMARY,Train-era weeks 1-30,30,0.0,2.1171,26.67,0.1514,-0.1132,5.4748,0.9323,-0.0371,0.0078,0.0369
Ranking Alpha (B0 - E1),ALPHA_DECOMPOSITION,B0_REFERENCE,E1_INDUSTRY_DIVERSE,W1,PRIMARY,Contaminated validation weeks 31-40,10,-0.1401,-0.0822,40.0,0.9102,-1.4059,1.3157,0.8221,-0.0749,-0.0362,0.0737
Ranking Alpha (B0 - E1),ALPHA_DECOMPOSITION,B0_REFERENCE,E1_INDUSTRY_DIVERSE,W2,PRIMARY,Contaminated validation weeks 31-40,10,-0.9854,0.2002,40.0,1.0,-1.3876,2.1215,1.5208,-0.0749,-0.0362,0.0737
