champion_role,rule_id,description,complexity,train_w1_ret_med,train_w2_ret_med,train_w4_ret_med,train_paired_w1_spread_med,train_paired_w2_spread_med,train_paired_w4_spread_med,train_paired_win_rate_vs_b0,train_act_opp_w1_spread_med,train_act_opp_w1_ret_med,train_act_w1_win_vs_l1_pct,train_act_rank_win_vs_l1_pct,train_act_w2_win_vs_l1_pct,train_act_w4_win_vs_l1_pct,train_act_exec_win_vs_l1_pct,train_temporal_block_stability_score,train_temporal_min_block_ret,train_valid_portfolio_rate,train_valid_weeks,train_total_weeks,train_full3_weeks,train_ranking_opportunity_weeks,train_stop8_before_p20_pct,train_exec_ret_med,train_paired_exec_spread_med,train_act_rank_exec_med,train_win_vs_l1_pct,train_win_vs_l1_exec_pct,full_w1_ret_med,full_w2_ret_med,full_w4_ret_med,full_exec_ret_med,full_stop8_before_p20_pct,full_win_vs_l0_pct,full_win_vs_l1_pct,full_active_weeks,full_full3_weeks,hist_val_w1_ret_med,hist_val_exec_ret_med,hist_val_stop8_before_p20_pct,hist_val_win_vs_l1_pct,pareto_score
HISTORICAL_RETURN_WINNER,B0_BASELINE,Production B0 Baseline (Exact 11-tuple sort_key),3,0.9859333333333336,0.7126583333333333,1.7124916666666667,0.0,0.0,0.0,6.666666666666667,0.0,0.6178333333333335,54.54545454545454,54.54545454545454,63.63636363636363,63.63636363636363,63.63636363636363,-1.1425,-2.6353,100.0,30,30,15,11,52.77777777777779,2.0443333333333333,0.0,4.6881666666666675,26.666666666666668,26.666666666666668,0.6535166666666667,0.5809249999999999,1.2573416666666666,2.0443333333333333,47.083333333333336,50.0,30.0,40,25,0.1361999999999999,2.3371166666666667,30.0,40.0,
LOWEST_STOP_CANDIDATE,SIMPLER_PURE_CLOSE_POS,Pure Close Position Sort (Highest intraday close position),1,0.5766000000000001,0.0705083333333332,1.077225,0.0,0.0,0.0,23.333333333333332,-1.1034333333333333,0.5511333333333334,63.63636363636363,63.63636363636363,54.54545454545454,63.63636363636363,63.63636363636363,-0.3241,-0.8867833333333333,100.0,30,30,15,11,52.22222222222224,2.1410333333333336,0.0,10.115466666666665,33.33333333333333,26.666666666666668,0.0549333333333333,-0.0722666666666667,0.5124000000000001,0.8673666666666667,49.16666666666666,45.0,32.5,40,25,-1.9295,-2.1267666666666667,40.0,30.0,
SIMPLER_EQUIVALENT,SIMPLER_PURE_CLOSE_POS,Pure Close Position Sort (Highest intraday close position),1,0.5766000000000001,0.0705083333333332,1.077225,0.0,0.0,0.0,23.333333333333332,-1.1034333333333333,0.5511333333333334,63.63636363636363,63.63636363636363,54.54545454545454,63.63636363636363,63.63636363636363,-0.3241,-0.8867833333333333,100.0,30,30,15,11,52.22222222222224,2.1410333333333336,0.0,10.115466666666665,33.33333333333333,26.666666666666668,0.0549333333333333,-0.0722666666666667,0.5124000000000001,0.8673666666666667,49.16666666666666,45.0,32.5,40,25,-1.9295,-2.1267666666666667,40.0,30.0,
PARETO_BALANCED_RULE,SIMPLER_PURE_CLOSE_POS,Pure Close Position Sort (Highest intraday close position),1,0.5766000000000001,0.0705083333333332,1.077225,0.0,0.0,0.0,23.333333333333332,-1.1034333333333333,0.5511333333333334,63.63636363636363,63.63636363636363,54.54545454545454,63.63636363636363,63.63636363636363,-0.3241,-0.8867833333333333,100.0,30,30,15,11,52.22222222222224,2.1410333333333336,0.0,10.115466666666665,33.33333333333333,26.666666666666668,0.0549333333333333,-0.0722666666666667,0.5124000000000001,0.8673666666666667,49.16666666666666,45.0,32.5,40,25,-1.9295,-2.1267666666666667,40.0,30.0,0.16039141414141395
