variant,weeks,picks,avg_watchlist_size,median_watchlist_size,p95_watchlist_size,evaluable_picks_1w,opportunities_available_1w,opportunities_captured_1w,selection_coverage_1w,opportunity_recall_1w,non_actionable_opportunity_recall_1w,opportunities_per_review,big_winner_recall_1w,big_loser_inclusion_1w,winner_capture_lift_1w,loser_capture_lift_1w,median_return_1w_pct,median_mfe_1w_pct,median_mae_1w_pct,tradable_selection_coverage_1w,tradable_big_winner_recall_1w,tradable_big_loser_inclusion_1w,tradable_winner_capture_lift_1w,tradable_loser_capture_lift_1w,opp_severe_loser_exposure_1w,median_opp_return_1w_pct,median_opp_mfe_1w_pct,median_opp_mae_1w_pct,selection_coverage_2w,big_winner_recall_2w,big_loser_inclusion_2w,winner_capture_lift_2w,loser_capture_lift_2w,median_return_2w_pct,median_mfe_2w_pct,median_mae_2w_pct,tradable_selection_coverage_2w,tradable_big_winner_recall_2w,tradable_big_loser_inclusion_2w,tradable_winner_capture_lift_2w,tradable_loser_capture_lift_2w,opp_severe_loser_exposure_2w,median_opp_return_2w_pct,median_opp_mfe_2w_pct,median_opp_mae_2w_pct,selection_coverage_3w,big_winner_recall_3w,big_loser_inclusion_3w,winner_capture_lift_3w,loser_capture_lift_3w,median_return_3w_pct,median_mfe_3w_pct,median_mae_3w_pct,tradable_selection_coverage_3w,tradable_big_winner_recall_3w,tradable_big_loser_inclusion_3w,tradable_winner_capture_lift_3w,tradable_loser_capture_lift_3w,opp_severe_loser_exposure_3w,median_opp_return_3w_pct,median_opp_mfe_3w_pct,median_opp_mae_3w_pct,selection_coverage_4w,big_winner_recall_4w,big_loser_inclusion_4w,winner_capture_lift_4w,loser_capture_lift_4w,median_return_4w_pct,median_mfe_4w_pct,median_mae_4w_pct,tradable_selection_coverage_4w,tradable_big_winner_recall_4w,tradable_big_loser_inclusion_4w,tradable_winner_capture_lift_4w,tradable_loser_capture_lift_4w,opp_severe_loser_exposure_4w,median_opp_return_4w_pct,median_opp_mfe_4w_pct,median_opp_mae_4w_pct,big_winner_recall_mean_2_4w,snapshot_winner_capture_lift_mean_2_4w,snapshot_loser_capture_lift_mean_2_4w,tradable_big_winner_recall_mean_2_4w,tradable_winner_capture_lift_mean_2_4w,tradable_loser_capture_lift_mean_2_4w,opp_severe_loser_exposure_mean_2_4w,opportunity_recall_1w_delta_vs_b0,non_actionable_opportunity_recall_1w_delta_vs_b0,selection_coverage_1w_delta_vs_b0,big_winner_recall_mean_2_4w_delta_vs_b0,snapshot_winner_capture_lift_mean_2_4w_delta_vs_b0,snapshot_loser_capture_lift_mean_2_4w_delta_vs_b0,tradable_big_winner_recall_mean_2_4w_delta_vs_b0,tradable_winner_capture_lift_mean_2_4w_delta_vs_b0,tradable_loser_capture_lift_mean_2_4w_delta_vs_b0,opp_severe_loser_exposure_mean_2_4w_delta_vs_b0,avg_watchlist_size_delta_vs_b0,big_winner_recall_1w_delta_vs_b0,winner_capture_lift_1w_delta_vs_b0,loser_capture_lift_1w_delta_vs_b0,tradable_big_winner_recall_1w_delta_vs_b0,tradable_winner_capture_lift_1w_delta_vs_b0,tradable_loser_capture_lift_1w_delta_vs_b0,opp_severe_loser_exposure_1w_delta_vs_b0,big_winner_recall_2w_delta_vs_b0,winner_capture_lift_2w_delta_vs_b0,loser_capture_lift_2w_delta_vs_b0,tradable_big_winner_recall_2w_delta_vs_b0,tradable_winner_capture_lift_2w_delta_vs_b0,tradable_loser_capture_lift_2w_delta_vs_b0,opp_severe_loser_exposure_2w_delta_vs_b0,big_winner_recall_3w_delta_vs_b0,winner_capture_lift_3w_delta_vs_b0,loser_capture_lift_3w_delta_vs_b0,tradable_big_winner_recall_3w_delta_vs_b0,tradable_winner_capture_lift_3w_delta_vs_b0,tradable_loser_capture_lift_3w_delta_vs_b0,opp_severe_loser_exposure_3w_delta_vs_b0,big_winner_recall_4w_delta_vs_b0,winner_capture_lift_4w_delta_vs_b0,loser_capture_lift_4w_delta_vs_b0,tradable_big_winner_recall_4w_delta_vs_b0,tradable_winner_capture_lift_4w_delta_vs_b0,tradable_loser_capture_lift_4w_delta_vs_b0,opp_severe_loser_exposure_4w_delta_vs_b0,added_evaluable_reviews_vs_b0,incremental_opportunities_vs_b0,incremental_opportunities_per_added_review,attention_multiplier_vs_b0,fold,evaluation_role,selected_rule,formal_oos,asof_cutoff,train_start,train_end,test_start,test_end,condition_count
B0_NO_EXPANSION,4,16,4.0,3.5,6.549999999999999,10,31,10,0.2631578947368421,0.3225806451612903,0.0,1.0,0.29411764705882354,0.35294117647058826,1.1176470588235294,1.3411764705882354,2.664478236052792,5.11172812507259,-3.2556318312503443,0.3225806451612903,0.46153846153846156,0.46153846153846156,1.4307692307692308,1.4307692307692308,0.2,2.9568168266814965,5.40302312971307,-2.9466076705492616,0.2631578947368421,0.29411764705882354,0.3333333333333333,1.1176470588235294,1.2666666666666666,7.677914205872383,9.401541374937517,-3.7559274646191634,0.3225806451612903,0.35714285714285715,0.5384615384615384,1.1071428571428572,1.6692307692307693,0.2,8.042905166253501,9.771771077504832,-3.4443537821222776,0.2631578947368421,0.29411764705882354,0.2777777777777778,1.1176470588235294,1.0555555555555556,7.163601098215633,10.19637815697968,-3.7559274646191634,0.3225806451612903,0.3333333333333333,0.38461538461538464,1.0333333333333332,1.1923076923076925,0.2,7.481542511363249,10.575172281778078,-3.4443537821222776,0.2631578947368421,0.3125,0.2631578947368421,1.1875,1.0,6.419673693837257,11.040758226938186,-3.7559274646191634,0.3225806451612903,0.35714285714285715,0.35714285714285715,1.1071428571428572,1.1071428571428572,0.2,7.528041205819823,11.35689927840774,-3.4443537821222776,0.3002450980392157,1.1409313725490196,1.1074074074074074,0.34920634920634924,1.0825396825396825,1.322893772893773,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1,STATIC_DISCOVERY_RULE,B0_NO_EXPANSION,True,2026-03-13,2025-10-10,2026-03-06,2026-03-13,2026-04-02,0
B0_NO_EXPANSION,4,16,4.0,3.5,6.549999999999999,10,31,10,0.2631578947368421,0.3225806451612903,0.0,1.0,0.29411764705882354,0.35294117647058826,1.1176470588235294,1.3411764705882354,2.664478236052792,5.11172812507259,-3.2556318312503443,0.3225806451612903,0.46153846153846156,0.46153846153846156,1.4307692307692308,1.4307692307692308,0.2,2.9568168266814965,5.40302312971307,-2.9466076705492616,0.2631578947368421,0.29411764705882354,0.3333333333333333,1.1176470588235294,1.2666666666666666,7.677914205872383,9.401541374937517,-3.7559274646191634,0.3225806451612903,0.35714285714285715,0.5384615384615384,1.1071428571428572,1.6692307692307693,0.2,8.042905166253501,9.771771077504832,-3.4443537821222776,0.2631578947368421,0.29411764705882354,0.2777777777777778,1.1176470588235294,1.0555555555555556,7.163601098215633,10.19637815697968,-3.7559274646191634,0.3225806451612903,0.3333333333333333,0.38461538461538464,1.0333333333333332,1.1923076923076925,0.2,7.481542511363249,10.575172281778078,-3.4443537821222776,0.2631578947368421,0.3125,0.2631578947368421,1.1875,1.0,6.419673693837257,11.040758226938186,-3.7559274646191634,0.3225806451612903,0.35714285714285715,0.35714285714285715,1.1071428571428572,1.1071428571428572,0.2,7.528041205819823,11.35689927840774,-3.4443537821222776,0.3002450980392157,1.1409313725490196,1.1074074074074074,0.34920634920634924,1.0825396825396825,1.322893772893773,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1,ADAPTIVE_DISCRIMINATIVE_POLICY,B0_NO_EXPANSION,True,2026-03-13,2025-10-10,2026-03-06,2026-03-13,2026-04-02,0
B0_NO_EXPANSION,4,87,21.75,20.0,36.349999999999994,61,165,61,0.2837209302325581,0.3696969696969697,0.0,1.0,0.13043478260869565,0.2647058823529412,0.4597291518175339,0.93297974927676,1.3273448056823733,3.1218474966290044,-2.4446427311696106,0.3696969696969697,0.3076923076923077,0.28125,0.832282471626734,0.7607581967213115,0.13114754098360656,1.2087422490175248,3.1662838392523707,-2.6288494689371333,0.2837209302325581,0.15384615384615385,0.26666666666666666,0.5422446406052964,0.9398907103825137,0.49875503877767624,4.822160938608611,-3.425959660629896,0.3696969696969697,0.35714285714285715,0.28205128205128205,0.9660421545667448,0.7629255989911727,0.18032786885245902,0.536137825681382,4.529130355712918,-3.1995920115843846,0.2837209302325581,0.08333333333333333,0.20754716981132076,0.2937158469945355,0.7315187132694093,0.6163029908059059,5.2091319366405875,-3.6538891413603225,0.3696969696969697,0.24,0.2727272727272727,0.6491803278688525,0.7377049180327868,0.18032786885245902,0.6922209001093194,5.192165515537517,-3.718198115578375,0.2837209302325581,0.13043478260869565,0.21428571428571427,0.4597291518175339,0.7552693208430913,0.9807379829350094,5.600435824547745,-4.688272630811296,0.3696969696969697,0.24,0.2727272727272727,0.6491803278688525,0.7377049180327868,0.21311475409836064,0.883313635236882,5.818738693187253,-4.412857872327369,0.12253808992939426,0.4318965464724553,0.8088929148316715,0.27904761904761904,0.75480093676815,0.7461118116855822,0.1912568306010929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,2,STATIC_DISCOVERY_RULE,B0_NO_EXPANSION,True,2026-04-10,2025-10-10,2026-04-02,2026-04-10,2026-05-01,0
B0_NO_EXPANSION,4,87,21.75,20.0,36.349999999999994,61,165,61,0.2837209302325581,0.3696969696969697,0.0,1.0,0.13043478260869565,0.2647058823529412,0.4597291518175339,0.93297974927676,1.3273448056823733,3.1218474966290044,-2.4446427311696106,0.3696969696969697,0.3076923076923077,0.28125,0.832282471626734,0.7607581967213115,0.13114754098360656,1.2087422490175248,3.1662838392523707,-2.6288494689371333,0.2837209302325581,0.15384615384615385,0.26666666666666666,0.5422446406052964,0.9398907103825137,0.49875503877767624,4.822160938608611,-3.425959660629896,0.3696969696969697,0.35714285714285715,0.28205128205128205,0.9660421545667448,0.7629255989911727,0.18032786885245902,0.536137825681382,4.529130355712918,-3.1995920115843846,0.2837209302325581,0.08333333333333333,0.20754716981132076,0.2937158469945355,0.7315187132694093,0.6163029908059059,5.2091319366405875,-3.6538891413603225,0.3696969696969697,0.24,0.2727272727272727,0.6491803278688525,0.7377049180327868,0.18032786885245902,0.6922209001093194,5.192165515537517,-3.718198115578375,0.2837209302325581,0.13043478260869565,0.21428571428571427,0.4597291518175339,0.7552693208430913,0.9807379829350094,5.600435824547745,-4.688272630811296,0.3696969696969697,0.24,0.2727272727272727,0.6491803278688525,0.7377049180327868,0.21311475409836064,0.883313635236882,5.818738693187253,-4.412857872327369,0.12253808992939426,0.4318965464724553,0.8088929148316715,0.27904761904761904,0.75480093676815,0.7461118116855822,0.1912568306010929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,2,ADAPTIVE_DISCRIMINATIVE_POLICY,B0_NO_EXPANSION,True,2026-04-10,2025-10-10,2026-04-02,2026-04-10,2026-05-01,0
B0_NO_EXPANSION,4,109,27.25,28.5,35.85,72,181,72,0.27692307692307694,0.39779005524861877,0.0,1.0,0.28,0.24390243902439024,1.011111111111111,0.8807588075880758,-0.8053547559082885,2.544935728216302,-3.2745299718933305,0.39779005524861877,0.5,0.375,1.2569444444444444,0.9427083333333334,0.1388888888888889,-0.8856477734727475,3.0588796761478965,-3.294882799626131,0.27692307692307694,0.19230769230769232,0.22058823529411764,0.6944444444444444,0.7965686274509803,0.8982239312515183,4.818497158924206,-4.832756785808995,0.39779005524861877,0.34615384615384615,0.42857142857142855,0.8701923076923077,1.0773809523809523,0.2222222222222222,1.1018883568783444,4.664836581856346,-4.730424313688908,0.27692307692307694,0.17391304347826086,0.21518987341772153,0.6280193236714975,0.7770745428973277,1.5454774798266735,5.6714015771146435,-4.8989555757192775,0.39779005524861877,0.2692307692307692,0.4375,0.6768162393162394,1.0998263888888888,0.2361111111111111,2.688985396543464,6.387463926812664,-5.190774954517957,0.27692307692307694,0.12,0.23809523809523808,0.4333333333333333,0.8597883597883597,3.9593455379174247,8.477876621854385,-4.934625882097027,0.39779005524861877,0.26666666666666666,0.44,0.6703703703703704,1.1061111111111113,0.2638888888888889,5.015203211723451,8.33361633432824,-5.351072529166462,0.1620735785953177,0.5852657004830918,0.8111438433788892,0.294017094017094,0.7391263057929724,1.094439484126984,0.24074074074074073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,3,STATIC_DISCOVERY_RULE,B0_NO_EXPANSION,True,2026-05-08,2025-10-10,2026-05-01,2026-05-08,2026-05-29,0
B0_NO_EXPANSION,4,109,27.25,28.5,35.85,72,181,72,0.27692307692307694,0.39779005524861877,0.0,1.0,0.28,0.24390243902439024,1.011111111111111,0.8807588075880758,-0.8053547559082885,2.544935728216302,-3.2745299718933305,0.39779005524861877,0.5,0.375,1.2569444444444444,0.9427083333333334,0.1388888888888889,-0.8856477734727475,3.0588796761478965,-3.294882799626131,0.27692307692307694,0.19230769230769232,0.22058823529411764,0.6944444444444444,0.7965686274509803,0.8982239312515183,4.818497158924206,-4.832756785808995,0.39779005524861877,0.34615384615384615,0.42857142857142855,0.8701923076923077,1.0773809523809523,0.2222222222222222,1.1018883568783444,4.664836581856346,-4.730424313688908,0.27692307692307694,0.17391304347826086,0.21518987341772153,0.6280193236714975,0.7770745428973277,1.5454774798266735,5.6714015771146435,-4.8989555757192775,0.39779005524861877,0.2692307692307692,0.4375,0.6768162393162394,1.0998263888888888,0.2361111111111111,2.688985396543464,6.387463926812664,-5.190774954517957,0.27692307692307694,0.12,0.23809523809523808,0.4333333333333333,0.8597883597883597,3.9593455379174247,8.477876621854385,-4.934625882097027,0.39779005524861877,0.26666666666666666,0.44,0.6703703703703704,1.1061111111111113,0.2638888888888889,5.015203211723451,8.33361633432824,-5.351072529166462,0.1620735785953177,0.5852657004830918,0.8111438433788892,0.294017094017094,0.7391263057929724,1.094439484126984,0.24074074074074073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,3,ADAPTIVE_DISCRIMINATIVE_POLICY,B0_NO_EXPANSION,True,2026-05-08,2025-10-10,2026-05-01,2026-05-08,2026-05-29,0
B0_NO_EXPANSION,4,228,57.0,44.5,108.89999999999998,189,472,189,0.31871838111298484,0.4004237288135593,0.0,1.0,0.3333333333333333,0.24691358024691357,1.0458553791887124,0.7747076882879351,0.47541922805189873,3.1999969482421786,-2.681587124444351,0.4004237288135593,0.5,0.2978723404255319,1.2486772486772486,0.7438928289992119,0.07407407407407407,0.20071432911636933,3.0276803409352127,-2.787454083036922,0.31871838111298484,0.34615384615384615,0.22950819672131148,1.086080586080586,0.7200971463266546,1.0451504983386872,4.433188675069677,-3.7289952212411825,0.4004237288135593,0.5384615384615384,0.35064935064935066,1.3447293447293447,0.87569573283859,0.14285714285714285,0.9823830147099644,4.412784006464721,-3.7567551071579386,0.31871838111298484,0.39285714285714285,0.22,1.232615268329554,0.6902645502645502,1.5930449362266952,5.608329624437625,-3.8216576895984233,0.4004237288135593,0.44,0.33,1.098835978835979,0.8241269841269842,0.1693121693121693,1.1917698088995676,5.818184939297755,-3.820559404827195,0.31925675675675674,0.3103448275862069,0.24550898203592814,0.9720853858784894,0.7690016791813199,2.2040853694993645,6.49877161101966,-4.26951730381242,0.4004237288135593,0.4230769230769231,0.36752136752136755,1.0565730565730567,0.9178311400533624,0.2222222222222222,1.7850564666646473,6.599866318250891,-4.355851430741565,0.3497852721990653,1.0969270800962099,0.7264544585908416,0.4671794871794872,1.16671279337946,0.8725512856729788,0.17813051146384482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,4,STATIC_DISCOVERY_RULE,B0_NO_EXPANSION,True,2026-06-05,2025-10-10,2026-05-29,2026-06-05,2026-06-26,0
B0_NO_EXPANSION,4,228,57.0,44.5,108.89999999999998,189,472,189,0.31871838111298484,0.4004237288135593,0.0,1.0,0.3333333333333333,0.24691358024691357,1.0458553791887124,0.7747076882879351,0.47541922805189873,3.1999969482421786,-2.681587124444351,0.4004237288135593,0.5,0.2978723404255319,1.2486772486772486,0.7438928289992119,0.07407407407407407,0.20071432911636933,3.0276803409352127,-2.787454083036922,0.31871838111298484,0.34615384615384615,0.22950819672131148,1.086080586080586,0.7200971463266546,1.0451504983386872,4.433188675069677,-3.7289952212411825,0.4004237288135593,0.5384615384615384,0.35064935064935066,1.3447293447293447,0.87569573283859,0.14285714285714285,0.9823830147099644,4.412784006464721,-3.7567551071579386,0.31871838111298484,0.39285714285714285,0.22,1.232615268329554,0.6902645502645502,1.5930449362266952,5.608329624437625,-3.8216576895984233,0.4004237288135593,0.44,0.33,1.098835978835979,0.8241269841269842,0.1693121693121693,1.1917698088995676,5.818184939297755,-3.820559404827195,0.31925675675675674,0.3103448275862069,0.24550898203592814,0.9720853858784894,0.7690016791813199,2.2040853694993645,6.49877161101966,-4.26951730381242,0.4004237288135593,0.4230769230769231,0.36752136752136755,1.0565730565730567,0.9178311400533624,0.2222222222222222,1.7850564666646473,6.599866318250891,-4.355851430741565,0.3497852721990653,1.0969270800962099,0.7264544585908416,0.4671794871794872,1.16671279337946,0.8725512856729788,0.17813051146384482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,4,ADAPTIVE_DISCRIMINATIVE_POLICY,B0_NO_EXPANSION,True,2026-06-05,2025-10-10,2026-05-29,2026-06-05,2026-06-26,0
B0_NO_EXPANSION,4,117,29.25,26.0,50.94999999999999,93,344,93,0.23308270676691728,0.2703488372093023,0.0,1.0,0.2857142857142857,0.2127659574468085,1.2258064516129032,0.9128345916266302,-0.2136894707772452,2.666272236074674,-3.6174351804504012,0.2703488372093023,0.25925925925925924,0.3333333333333333,0.9589804858622063,1.2329749103942653,0.0967741935483871,-0.0325968523966047,2.762578406512728,-3.681842445858141,0.23308270676691728,0.24,0.19480519480519481,1.0296774193548388,0.8357771260997068,0.6532222329359794,4.676631789466379,-4.059033095868248,0.2703488372093023,0.25925925925925924,0.2962962962962963,0.9589804858622063,1.0959776981282359,0.17204301075268819,0.7945703905682278,5.0617265112606,-4.283408168371894,0.23308270676691728,0.21739130434782608,0.19801980198019803,0.9326788218793829,0.8495688278505271,1.8948347085036454,5.3372734186232895,-4.311038307737569,0.2703488372093023,0.23076923076923078,0.25925925925925924,0.8535980148883375,0.9589804858622063,0.22580645161290322,1.781170483460559,5.7853304300913955,-4.418773252447316,0.23308270676691728,0.2,0.19047619047619047,0.8580645161290323,0.8172043010752689,1.8881061300315638,5.826620116880443,-4.53110389783169,0.27113702623906705,0.2,0.25263157894736843,0.7376344086021506,0.9317487266553481,0.25806451612903225,2.0595899130720685,6.183578810638091,-4.53095061807931,0.2191304347826087,0.9401402524544181,0.8341834183418343,0.23000949667616336,0.8500709697842316,0.9955689702152634,0.2186379928315412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,5,STATIC_DISCOVERY_RULE,B0_NO_EXPANSION,True,2026-07-02,2025-10-10,2026-06-26,2026-07-02,2026-07-24,0
B0_NO_EXPANSION,4,117,29.25,26.0,50.94999999999999,93,344,93,0.23308270676691728,0.2703488372093023,0.0,1.0,0.2857142857142857,0.2127659574468085,1.2258064516129032,0.9128345916266302,-0.2136894707772452,2.666272236074674,-3.6174351804504012,0.2703488372093023,0.25925925925925924,0.3333333333333333,0.9589804858622063,1.2329749103942653,0.0967741935483871,-0.0325968523966047,2.762578406512728,-3.681842445858141,0.23308270676691728,0.24,0.19480519480519481,1.0296774193548388,0.8357771260997068,0.6532222329359794,4.676631789466379,-4.059033095868248,0.2703488372093023,0.25925925925925924,0.2962962962962963,0.9589804858622063,1.0959776981282359,0.17204301075268819,0.7945703905682278,5.0617265112606,-4.283408168371894,0.23308270676691728,0.21739130434782608,0.19801980198019803,0.9326788218793829,0.8495688278505271,1.8948347085036454,5.3372734186232895,-4.311038307737569,0.2703488372093023,0.23076923076923078,0.25925925925925924,0.8535980148883375,0.9589804858622063,0.22580645161290322,1.781170483460559,5.7853304300913955,-4.418773252447316,0.23308270676691728,0.2,0.19047619047619047,0.8580645161290323,0.8172043010752689,1.8881061300315638,5.826620116880443,-4.53110389783169,0.27113702623906705,0.2,0.25263157894736843,0.7376344086021506,0.9317487266553481,0.25806451612903225,2.0595899130720685,6.183578810638091,-4.53095061807931,0.2191304347826087,0.9401402524544181,0.8341834183418343,0.23000949667616336,0.8500709697842316,0.9955689702152634,0.2186379928315412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,5,ADAPTIVE_DISCRIMINATIVE_POLICY,B0_NO_EXPANSION,True,2026-07-02,2025-10-10,2026-06-26,2026-07-02,2026-07-24,0
