variant,weeks,picks,avg_watchlist_size,median_watchlist_size,p95_watchlist_size,evaluable_picks_1w,opportunities_available_1w,opportunities_captured_1w,selection_coverage_1w,opportunity_recall_1w,non_actionable_opportunity_recall_1w,opportunities_per_review,big_winner_recall_1w,big_loser_inclusion_1w,winner_capture_lift_1w,loser_capture_lift_1w,median_return_1w_pct,median_mfe_1w_pct,median_mae_1w_pct,tradable_selection_coverage_1w,tradable_big_winner_recall_1w,tradable_big_loser_inclusion_1w,tradable_winner_capture_lift_1w,tradable_loser_capture_lift_1w,opp_severe_loser_exposure_1w,median_opp_return_1w_pct,median_opp_mfe_1w_pct,median_opp_mae_1w_pct,selection_coverage_2w,big_winner_recall_2w,big_loser_inclusion_2w,winner_capture_lift_2w,loser_capture_lift_2w,median_return_2w_pct,median_mfe_2w_pct,median_mae_2w_pct,tradable_selection_coverage_2w,tradable_big_winner_recall_2w,tradable_big_loser_inclusion_2w,tradable_winner_capture_lift_2w,tradable_loser_capture_lift_2w,opp_severe_loser_exposure_2w,median_opp_return_2w_pct,median_opp_mfe_2w_pct,median_opp_mae_2w_pct,selection_coverage_3w,big_winner_recall_3w,big_loser_inclusion_3w,winner_capture_lift_3w,loser_capture_lift_3w,median_return_3w_pct,median_mfe_3w_pct,median_mae_3w_pct,tradable_selection_coverage_3w,tradable_big_winner_recall_3w,tradable_big_loser_inclusion_3w,tradable_winner_capture_lift_3w,tradable_loser_capture_lift_3w,opp_severe_loser_exposure_3w,median_opp_return_3w_pct,median_opp_mfe_3w_pct,median_opp_mae_3w_pct,selection_coverage_4w,big_winner_recall_4w,big_loser_inclusion_4w,winner_capture_lift_4w,loser_capture_lift_4w,median_return_4w_pct,median_mfe_4w_pct,median_mae_4w_pct,tradable_selection_coverage_4w,tradable_big_winner_recall_4w,tradable_big_loser_inclusion_4w,tradable_winner_capture_lift_4w,tradable_loser_capture_lift_4w,opp_severe_loser_exposure_4w,median_opp_return_4w_pct,median_opp_mfe_4w_pct,median_opp_mae_4w_pct,big_winner_recall_mean_2_4w,snapshot_winner_capture_lift_mean_2_4w,snapshot_loser_capture_lift_mean_2_4w,tradable_big_winner_recall_mean_2_4w,tradable_winner_capture_lift_mean_2_4w,tradable_loser_capture_lift_mean_2_4w,opp_severe_loser_exposure_mean_2_4w,opportunity_recall_1w_delta_vs_b0,non_actionable_opportunity_recall_1w_delta_vs_b0,selection_coverage_1w_delta_vs_b0,big_winner_recall_mean_2_4w_delta_vs_b0,snapshot_winner_capture_lift_mean_2_4w_delta_vs_b0,snapshot_loser_capture_lift_mean_2_4w_delta_vs_b0,tradable_big_winner_recall_mean_2_4w_delta_vs_b0,tradable_winner_capture_lift_mean_2_4w_delta_vs_b0,tradable_loser_capture_lift_mean_2_4w_delta_vs_b0,opp_severe_loser_exposure_mean_2_4w_delta_vs_b0,avg_watchlist_size_delta_vs_b0,big_winner_recall_1w_delta_vs_b0,winner_capture_lift_1w_delta_vs_b0,loser_capture_lift_1w_delta_vs_b0,tradable_big_winner_recall_1w_delta_vs_b0,tradable_winner_capture_lift_1w_delta_vs_b0,tradable_loser_capture_lift_1w_delta_vs_b0,opp_severe_loser_exposure_1w_delta_vs_b0,big_winner_recall_2w_delta_vs_b0,winner_capture_lift_2w_delta_vs_b0,loser_capture_lift_2w_delta_vs_b0,tradable_big_winner_recall_2w_delta_vs_b0,tradable_winner_capture_lift_2w_delta_vs_b0,tradable_loser_capture_lift_2w_delta_vs_b0,opp_severe_loser_exposure_2w_delta_vs_b0,big_winner_recall_3w_delta_vs_b0,winner_capture_lift_3w_delta_vs_b0,loser_capture_lift_3w_delta_vs_b0,tradable_big_winner_recall_3w_delta_vs_b0,tradable_winner_capture_lift_3w_delta_vs_b0,tradable_loser_capture_lift_3w_delta_vs_b0,opp_severe_loser_exposure_3w_delta_vs_b0,big_winner_recall_4w_delta_vs_b0,winner_capture_lift_4w_delta_vs_b0,loser_capture_lift_4w_delta_vs_b0,tradable_big_winner_recall_4w_delta_vs_b0,tradable_winner_capture_lift_4w_delta_vs_b0,tradable_loser_capture_lift_4w_delta_vs_b0,opp_severe_loser_exposure_4w_delta_vs_b0,added_evaluable_reviews_vs_b0,incremental_opportunities_vs_b0,incremental_opportunities_per_added_review,attention_multiplier_vs_b0,setup,rows,complete_1w_rows,complete_1w_rate,eligible_for_balanced_summary
V06_STATIC_DISCOVERY_RULE,20,185,9.25,6.5,23.950000000000014,118,270,118,0.3259668508287293,0.43703703703703706,0.0,1.0,0.2972972972972973,0.2777777777777778,0.9120476408612003,0.852165725047081,0.9665129465117217,3.402603187691011,-2.584790226852957,0.43703703703703706,0.5,0.4074074074074074,1.1440677966101693,0.9322033898305084,0.07627118644067797,0.8524796293543524,3.539350074019021,-2.728325798942471,0.3259668508287293,0.2926829268292683,0.2807017543859649,0.8978916907813146,0.8611358905738923,1.9959880165766108,5.195784826658933,-3.289892974114328,0.43703703703703706,0.5142857142857142,0.42857142857142855,1.1767554479418885,0.9806295399515738,0.13559322033898305,1.609992644054703,5.145889070038622,-3.2873989690388683,0.3259668508287293,0.30952380952380953,0.21428571428571427,0.9495560936238903,0.6573849878934624,2.5696266367369103,6.757456734239941,-3.393862731847219,0.43703703703703706,0.48484848484848486,0.3877551020408163,1.1093990755007703,0.8872362504323763,0.13559322033898305,2.095579679743753,6.52295443539429,-3.3987749771144884,0.3268698060941828,0.27906976744186046,0.21428571428571427,0.8537642885297596,0.6555690072639225,3.793866907468413,7.6785471093272495,-3.7815468988059098,0.43866171003717475,0.43243243243243246,0.37735849056603776,0.9857993586807147,0.8602494403581707,0.15254237288135594,3.6625117892063908,7.798783419618038,-3.642341674517363,0.2937588345983128,0.9004040243116549,0.7246966285770924,0.4771888771888772,1.0906512940411244,0.9093717435807069,0.14124293785310735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,ceiling,575,362,0.6295652173913043,True
V06_STATIC_DISCOVERY_RULE,17,28,1.6470588235294117,1.0,4.199999999999999,24,73,24,0.27906976744186046,0.3287671232876712,0.0,1.0,0.5,0.2727272727272727,1.7916666666666667,0.9772727272727272,2.696950410378418,3.8109793067039766,-1.7717474144774203,0.3287671232876712,0.5,0.5,1.5208333333333335,1.5208333333333335,0.08333333333333333,1.5716269293566953,3.555399467282727,-2.2280163325465177,0.27906976744186046,0.42857142857142855,0.23529411764705882,1.5357142857142856,0.8431372549019608,1.1953332256703808,5.290227002481663,-3.7428751641995603,0.3287671232876712,0.36363636363636365,0.5,1.1060606060606062,1.5208333333333335,0.125,0.4875282668207248,5.073657340532655,-4.289159554331179,0.27906976744186046,0.375,0.22727272727272727,1.34375,0.8143939393939393,3.6117470276838204,8.341896559808948,-3.7428751641995603,0.3287671232876712,0.3333333333333333,0.4,1.0138888888888888,1.2166666666666668,0.16666666666666666,2.1668463506581803,7.833057094846008,-4.490415054854841,0.27906976744186046,0.2857142857142857,0.18181818181818182,1.0238095238095237,0.6515151515151515,3.1415201921214386,9.878902659482115,-3.7428751641995603,0.3287671232876712,0.3333333333333333,0.4375,1.0138888888888888,1.3307291666666667,0.16666666666666666,2.9893985444614524,8.89959767137829,-4.490415054854841,0.36309523809523814,1.3010912698412698,0.7696821152703506,0.3434343434343434,1.0446127946127945,1.356076388888889,0.15277777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,ceiling_pullback,112,86,0.7678571428571429,True
V06_STATIC_DISCOVERY_RULE,20,123,6.15,4.0,14.150000000000016,100,301,100,0.26737967914438504,0.33222591362126247,0.009852216748768473,1.0,0.21212121212121213,0.18461538461538463,0.7933333333333333,0.6904615384615385,0.07245293623174831,3.0127584756867276,-2.9344556703429783,0.33222591362126247,0.4482758620689655,0.22916666666666666,1.3493103448275863,0.6897916666666666,0.09,-0.24897035393087186,2.634134588056136,-3.0763681111069365,0.26737967914438504,0.17647058823529413,0.1919191919191919,0.66,0.7177777777777777,1.0306130312423556,4.140351674184317,-4.282088879571239,0.33222591362126247,0.3225806451612903,0.2714285714285714,0.9709677419354839,0.817,0.16,0.8018331143624935,4.348080980461299,-4.5253306855491005,0.26737967914438504,0.17391304347826086,0.1810344827586207,0.6504347826086956,0.6770689655172414,0.9125467766461837,5.151949636921338,-4.830874264073149,0.33222591362126247,0.25,0.23076923076923078,0.7525,0.6946153846153846,0.2,0.9614688643238112,4.910498720805179,-4.912940255405706,0.26737967914438504,0.15384615384615385,0.22900763358778625,0.5753846153846154,0.8564885496183205,0.9804665797020329,5.606401266979743,-5.761953673422804,0.33222591362126247,0.28,0.2912621359223301,0.8428000000000001,0.8766990291262136,0.28,0.9200518231681332,5.8336154195231416,-5.682917812700561,0.16807659518656962,0.6286064659977703,0.75044509763778,0.28419354838709676,0.8554225806451613,0.7961048045805327,0.21333333333333335,0.006644518272425237,0.009852216748768473,0.005347593582887722,0.03711718801232869,0.12882260596546302,0.018211588282471602,0.03797491039426523,0.09917962109575007,0.0195693659091718,0.005850340136054455,0.10000000000000053,0.030303030303030304,0.09945578231292518,0.04462166405023538,0.03448275862068967,0.07837438423645327,0.04991071428571425,0.008367346938775513,0.02941176470588236,0.0987755102040816,0.02390022675736958,0.032258064516129004,0.07926267281105992,0.0272040816326532,0.0069387755102040816,0.043478260869565216,0.15265306122448974,0.019081632653061176,0.04166666666666666,0.11261904761904762,0.019576138147566757,0.006122448979591855,0.038461538461538464,0.13503924646781784,0.01165290543698383,0.040000000000000036,0.105657142857143,0.01192787794729544,0.004489795918367401,2.0,2.0,1.0,1.0165289256198349,ma10_touch_confirm,492,374,0.7601626016260162,True
V06_STATIC_DISCOVERY_RULE,20,206,10.3,9.5,24.500000000000007,168,493,167,0.2696629213483146,0.33874239350912777,0.006097560975609756,0.9940476190476191,0.275,0.27884615384615385,1.0197916666666669,1.0340544871794872,-0.220380483276289,2.715405164324114,-3.475780502521564,0.33874239350912777,0.3125,0.35714285714285715,0.9225299401197605,1.0543199315654406,0.1377245508982036,-0.18681117466518016,2.9850755959853315,-3.3067710846068854,0.2696629213483146,0.24324324324324326,0.24489795918367346,0.9020270270270271,0.9081632653061225,0.3845959914612118,4.226221648574446,-4.19986234923187,0.33874239350912777,0.3170731707317073,0.37755102040816324,0.9360303782678546,1.1145667847977514,0.2215568862275449,0.536137825681382,4.6126185895535965,-4.083487342792925,0.2696629213483146,0.1794871794871795,0.23756906077348067,0.6655982905982906,0.8809852670349908,1.090145285763311,5.709429743253569,-4.576857360416925,0.33874239350912777,0.21739130434782608,0.36065573770491804,0.6417599583441812,1.0646902915480516,0.25149700598802394,1.1917698088995676,6.110240706452075,-4.412857872327369,0.2696629213483146,0.2,0.2350230414746544,0.7416666666666667,0.8715437788018434,1.3705290595505293,6.378453347259971,-4.836304804639713,0.33874239350912777,0.2222222222222222,0.3333333333333333,0.6560212907518297,0.9840319361277445,0.2934131736526946,1.4797334223122904,6.61577996406848,-4.769440755485577,0.20757680757680755,0.7697639947639948,0.8868974370476522,0.2522288991005852,0.7446038757879552,1.054429670824516,0.2554890219560878,0.004056795131845814,0.006097560975609756,0.004815409309791352,0.0,-0.01399570899570901,-0.016125407946321113,0.0,-0.009025501524702495,-0.01278096570696352,-0.0030968366297707828,0.25,0.0,-0.01854166666666668,-0.018800990675990725,0.0,-0.011182181092360688,-0.012779635534126532,-0.0016693884957358074,0.0,-0.01640049140049149,-0.016512059369202303,0.0,-0.011345822766883007,-0.013509900421790899,-0.002685538014879335,0.0,-0.01210178710178722,-0.016017913946090867,0.0,-0.007778908585990063,-0.012905336867248929,-0.003048448557430583,0.0,-0.013484848484848544,-0.015846250523669947,0.0,-0.007951773221234193,-0.01192765983185129,-0.0035565233170024024,3.0,2.0,0.6666666666666666,1.0248756218905473,pivot,784,623,0.7946428571428571,True
V06_STATIC_DISCOVERY_RULE,13,22,1.6923076923076923,1.0,6.199999999999996,20,56,20,0.3333333333333333,0.35714285714285715,0.0,1.0,0.0,0.5,0.0,1.5,-0.7160898800432136,1.4491019932172278,-3.1055596096575986,0.35714285714285715,0.0,0.6666666666666666,0.0,1.8666666666666665,0.05,-0.8954297008700429,1.0841469695254125,-3.2872649666465303,0.3333333333333333,0.0,0.2,0.0,0.6000000000000001,0.34134038711431947,3.9961965999121607,-3.1055596096575986,0.35714285714285715,0.3333333333333333,0.2857142857142857,0.9333333333333332,0.7999999999999999,0.05,0.4376263562976601,4.110749611669229,-3.2872649666465303,0.3333333333333333,0.3333333333333333,0.25,1.0,0.75,1.8982905271819006,4.504840110335728,-3.1055596096575986,0.35714285714285715,0.2,0.3333333333333333,0.56,0.9333333333333332,0.1,2.141767296014052,4.651517802287319,-3.2872649666465303,0.3333333333333333,0.0,0.25,0.0,0.75,1.787772181313585,4.504840110335728,-3.199429811817067,0.35714285714285715,0.0,0.3333333333333333,0.0,0.9333333333333332,0.1,1.706490586249676,4.651517802287319,-3.4118326013497513,0.1111111111111111,0.3333333333333333,0.7000000000000001,0.17777777777777778,0.4977777777777777,0.8888888888888888,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,three_weeks_tight,68,60,0.8823529411764706,True
