code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry,eps_yoy_growth_source
NEM,2026-02-13,True,pivot,False,pivot,124.64,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 124.64, ""resistance_date"": ""2026-02-09""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,125.8,0.93,UNCONFIRMED,0.9706186132004008,59.2,2025-09-08,65.4,2,1,76.08,2022-04-11,-62.9,10,178,62.9,4.398148148148148,1.0,4,4.0,-13.3,0.9,True,False,108.75,134.88,-6.731909845788852,Unknown,Unknown,SEC
AEIS,2026-02-13,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,274.94,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-02-09"", ""ma10_prior_week"": 235.465, ""pending_high"": 274.94, ""touch_date"": ""2026-02-02""}",1.0,2026-02-10,279.1,274.94,1.604346230185704,0.0149123445115297,0.6402767102229062,0.3151421983089936,ma10_touch_confirm,,314.41,14.36,EXTENDED,1.860744720666516,137.9,2025-06-23,138.6,5,0,131.79,2025-02-17,-43.2,1,18,43.2,4.333333333333333,2.0,7,3.0,-8.5,13.6,True,True,400.0,325.69,-3.463416131904562,Electronic Technology,Electronic Production Equipment,SEC
SN,2026-02-13,True,ceiling_breakout,,ceiling,121.05,ceiling_breakout,,1.0,2026-02-11,121.05,121.05,3.50471222396105,0.0351920693928129,0.7032101756511203,0.2580254391278015,ceiling,,131.06,8.27,EXTENDED,2.006072142513066,0.0,2026-02-09,8.3,0,0,121.05,2025-02-03,-50.0,3,53,50.0,4.296296296296296,3.0,0,,,,True,True,,132.47,-1.0643919377972375,Consumer Durables,Electronics/Appliances,
AMAT,2026-02-13,True,pivot,False,pivot,331.0,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 331.0, ""resistance_date"": ""2026-02-09""}], ""selected_pivot"": {""box_type"": ""S_BOX"", ""price"": 331.0, ""resistance_date"": ""2026-02-09""}}",1.0,2026-02-13,364.95,331.0,2.121860613722598,0.0722356495468279,0.0715524718126641,1.03686036426713,pivot,,354.91,7.22,EXTENDED,1.6801714507021772,32.4,2025-12-01,40.7,1,0,252.28,2024-07-08,-51.3,4,73,51.3,4.277777777777778,4.0,2,5.0,-13.1,7.2,True,True,10.8108108108,376.32,-5.68930697278911,Producer Manufacturing,Industrial Machinery,SEC
LSCC,2026-02-13,True,pivot,True,pivot,86.69,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 86.69, ""resistance_date"": ""2026-02-09""}], ""selected_pivot"": {""box_type"": ""S_BOX"", ""price"": 86.69, ""resistance_date"": ""2026-02-09""}}",1.0,2026-02-09,86.69,86.69,1.5023754248715886,0.0098050524858692,0.6224719101123615,0.1910112359550579,pivot,,97.63,12.62,EXTENDED,2.2307738071430836,23.8,2025-12-01,38.4,2,0,70.55,2025-02-17,-50.8,2,41,50.8,4.2407407407407405,5.0,2,5.0,-7.7,12.6,True,True,-60.0,108.08,-9.668763878608445,Electronic Technology,Semiconductors,SEC
GNRC,2026-02-13,True,ceiling_breakout,,ceiling,203.25,ceiling_breakout,,1.0,2026-02-11,203.25,203.25,4.168872831469773,0.0577613776137762,0.8100486223662889,0.3805510534846033,ceiling,,224.45,10.43,EXTENDED,2.515547911378955,0.0,2026-02-09,10.4,0,0,203.25,2025-08-11,-33.7,3,26,33.7,4.111111111111111,6.0,0,,,,True,True,-40.7407407407,229.16,-2.0553325187641858,Producer Manufacturing,Electrical Products,SEC
AEO,2026-02-13,True,ceiling_breakout,,ceiling,24.39,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,25.48,4.47,UNCONFIRMED,0.8810968989197797,0.0,2026-02-09,4.5,0,0,24.39,2024-03-25,-62.9,8,98,62.9,3.935185185185185,7.0,0,,,,True,False,29.2682926829,28.33,-10.060007059654074,Unknown,Unknown,SEC
TSM,2026-02-13,True,pivot,False,pivot,351.33,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 351.33, ""resistance_date"": ""2026-02-09""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,366.36,4.28,UNCONFIRMED,1.3234206545243636,61.2,2025-06-23,64.0,4,2,223.39,2025-01-20,-40.5,1,22,40.5,3.925925925925926,8.0,6,4.0,-7.3,4.3,True,True,,380.0,-3.58947368421052,Electronic Technology,Semiconductors,
VRT,2026-02-13,True,ceiling_breakout,,ceiling,202.37,ceiling_breakout,,1.0,2026-02-11,233.25,202.37,3.42242632883027,0.2279982210801996,0.9150442477876108,2.722123893805311,ceiling,,234.53,15.89,EXTENDED,1.9760305792160435,0.0,2026-02-09,15.9,0,0,202.37,2025-10-27,-27.0,1,15,27.0,3.888888888888889,9.0,0,,,,True,True,121.7391304348,255.54,-8.221804805509903,Electronic Technology,Electronic Production Equipment,SEC
MTZ,2026-02-13,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,260.25,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-02-09"", ""ma10_prior_week"": 231.342, ""pending_high"": 260.25, ""touch_date"": ""2026-02-02""}",0.0,,,,,,,,,daily_volume_not_confirmed,269.53,3.57,UNCONFIRMED,1.1131323312344408,56.7,2025-06-23,61.4,6,2,166.95,2025-01-20,-40.3,1,22,40.3,3.7037037037037033,10.0,6,4.0,-5.5,8.2,True,False,68.5950413223,276.79,-2.6229271288702782,Unknown,Unknown,SEC
