policy_id,family,policy_kind,components_kept,components_removed,removed_count,screen_shortlisted,confirmation_evaluated,screen_support_weeks,screen_mean_spread,screen_median_spread,screen_cvar_delta,screen_stop_delta_pct,screen_one_pick_ruins_delta_pct,screen_slot_coverage_pct,screen_full_top3_rate_pct,screen_jaccard_vs_b0,screen_ci_low,screen_ci_high,screen_positive_block_ratio,screen_block_summaries_json,confirmation_support_weeks,confirmation_mean_spread,confirmation_median_spread,confirmation_cvar_delta,confirmation_stop_delta_pct,confirmation_one_pick_ruins_delta_pct,confirmation_slot_coverage_pct,confirmation_full_top3_rate_pct,confirmation_jaccard_vs_b0,confirmation_ci_low,confirmation_ci_high,confirmation_positive_block_ratio,confirmation_block_summaries_json,pooled_support_weeks,pooled_mean_spread,pooled_median_spread,pooled_cvar_delta,pooled_stop_delta_pct,pooled_one_pick_ruins_delta_pct,pooled_slot_coverage_pct,pooled_full_top3_rate_pct,pooled_jaccard_vs_b0,pooled_ci_low,pooled_ci_high,pooled_positive_block_ratio,pooled_block_summaries_json,confirmation_risk_noninferior,pooled_risk_noninferior,b1_gate_pass,compression_gate_pass
TRACK_D_DSL__three_slot_crowding_quality_gated,agent,agent_b1,,,0,False,False,6,-2.4288,-2.0298,0.0,0.0,0.0,55.55,33.33,0.5833,-2.7161,-0.9743,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -0.0312, ""mean_spread"": -1.9382, ""median_spread"": -4.0596, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 0.0, ""mean_spread"": -2.9195, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
TRACK_D_DSL__structural_loser_soft_reject_v1,agent,agent_b1,,,0,False,False,6,-2.2415,-0.7862,-1.3633,-0.0,16.67,33.33,0.0,0.3056,-2.9433,-1.4287,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -0.0312, ""mean_spread"": -1.9382, ""median_spread"": -4.0596, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -1.3633, ""mean_spread"": -2.5448, ""median_spread"": 2.4873, ""stop_delta_pct"": -0.0, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
TRACK_D_DSL__trigger_compression_rescue_v1,agent,agent_b1,,,0,False,False,6,-8.2426,-7.1888,-5.2502,0.0,0.0,66.67,0.0,0.4306,-8.7005,-0.8499,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 3.2575, ""mean_spread"": -4.5566, ""median_spread"": -10.8229, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -5.2502, ""mean_spread"": -11.9286, ""median_spread"": -6.2731, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
TRACK_D_DSL__recent_momentum_ranking,agent,agent_b1,,,0,False,False,6,-2.6449,-1.9962,-1.3633,-5.56,0.0,33.33,0.0,0.3611,-2.9433,-1.4287,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -0.0312, ""mean_spread"": -1.9382, ""median_spread"": -4.0596, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -1.3633, ""mean_spread"": -3.3516, ""median_spread"": 0.0671, ""stop_delta_pct"": -11.11, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
TRACK_D_DSL__downside_distress_hard_gate,agent,agent_b1,,,0,True,True,6,-1.1963,-2.0298,-1.3633,-5.56,0.0,55.55,33.33,0.5833,-2.1602,-0.4648,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -0.0312, ""mean_spread"": -1.9382, ""median_spread"": -4.0596, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -1.3633, ""mean_spread"": -0.4544, ""median_spread"": 0.0, ""stop_delta_pct"": -11.11, ""support_weeks"": 3}]",12.0,1.2787,0.0,3.7332,0.0,0.0,100.0,100.0,0.7,0.0,2.5645,0.5,"[{""block_id"": ""FWD_3"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": 3.7332, ""mean_spread"": 1.8089, ""median_spread"": 1.7064, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": 6.9574, ""mean_spread"": 3.3058, ""median_spread"": -1.8844, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",18.0,0.4537,0.0,3.7332,-1.85,0.0,85.18,77.78,0.6611,-0.6512,1.7875,0.3333,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -0.0312, ""mean_spread"": -1.9382, ""median_spread"": -4.0596, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -1.3633, ""mean_spread"": -0.4544, ""median_spread"": 0.0, ""stop_delta_pct"": -11.11, ""support_weeks"": 3}, {""block_id"": ""FWD_3"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": 3.7332, ""mean_spread"": 1.8089, ""median_spread"": 1.7064, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": 6.9574, ""mean_spread"": 3.3058, ""median_spread"": -1.8844, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",True,True,False,True
TRACK_D_DSL__trigger_position_calibration,agent,agent_b1,,,0,False,False,6,-5.8479,-4.2219,-1.3633,-5.56,0.0,55.55,33.33,0.5,-6.1352,-1.4287,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -0.0312, ""mean_spread"": -1.9382, ""median_spread"": -4.0596, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -1.3633, ""mean_spread"": -9.7577, ""median_spread"": 0.0, ""stop_delta_pct"": -11.11, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
TRACK_D_DSL__ruin_suppression_layer_v1,agent,agent_b1,,,0,False,False,6,-7.1249,-6.5412,2.6565,-5.56,0.0,66.67,0.0,0.3889,-10.1462,-0.8499,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 3.2575, ""mean_spread"": -4.5566, ""median_spread"": -10.8229, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 2.6565, ""mean_spread"": -9.6932, ""median_spread"": -2.2595, ""stop_delta_pct"": -11.11, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
TRACK_D_DSL__dual_mode_coil_candidate_v1,agent,agent_b1,,,0,False,False,6,-1.6529,-1.8084,-4.0197,0.0,0.0,50.0,0.0,0.5278,-2.6029,-0.9815,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -0.0312, ""mean_spread"": -1.9382, ""median_spread"": -4.0596, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -4.0197, ""mean_spread"": -1.3676, ""median_spread"": 0.4428, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
TRACK_D_MECH__KNOCKOUT__lane,mechanism,knockout,dry_false_penalty|evidence_risk|freshness|eps_preference|weekly_volume|entry_volume,lane,1,True,True,6,-7.221,-9.867,-3.0286,0.0,0.0,94.45,83.33,0.65,-7.221,0.34,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -3.0286, ""mean_spread"": -14.442, ""median_spread"": -7.9097, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",12.0,0.0788,-2.8251,0.0,5.55,16.67,100.0,100.0,0.3333,-0.5374,1.7097,0.25,"[{""block_id"": ""FWD_3"", ""cvar_delta"": 2.2616, ""mean_spread"": -0.6749, ""median_spread"": -5.7465, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": -3.3535, ""mean_spread"": -0.4591, ""median_spread"": -1.5046, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": 0.0, ""mean_spread"": 1.8081, ""median_spread"": -0.3334, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": -0.5022, ""mean_spread"": -0.3591, ""median_spread"": -5.3462, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}]",18.0,-2.3545,-3.4117,0.0,3.7,11.11,98.15,94.44,0.4389,-7.4673,0.8999,0.1667,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -3.0286, ""mean_spread"": -14.442, ""median_spread"": -7.9097, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_3"", ""cvar_delta"": 2.2616, ""mean_spread"": -0.6749, ""median_spread"": -5.7465, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": -3.3535, ""mean_spread"": -0.4591, ""median_spread"": -1.5046, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": 0.0, ""mean_spread"": 1.8081, ""median_spread"": -0.3334, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": -0.5022, ""mean_spread"": -0.3591, ""median_spread"": -5.3462, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}]",False,False,False,False
TRACK_D_MECH__KNOCKOUT__dry_false_penalty,mechanism,knockout,lane|evidence_risk|freshness|eps_preference|weekly_volume|entry_volume,dry_false_penalty,1,True,True,6,0.0,0.0,0.0,0.0,0.0,94.45,83.33,1.0,0.0,0.0,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",12.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,1.0,0.0,0.0,0.0,"[{""block_id"": ""FWD_3"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",18.0,0.0,0.0,0.0,0.0,0.0,98.15,94.44,1.0,0.0,0.0,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_3"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",True,True,False,False
TRACK_D_MECH__KNOCKOUT__evidence_risk,mechanism,knockout,lane|dry_false_penalty|freshness|eps_preference|weekly_volume|entry_volume,evidence_risk,1,True,True,6,0.0957,0.2871,0.0,5.55,16.67,94.45,83.33,0.8667,0.0,0.0957,0.5,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 0.0, ""mean_spread"": 0.1914, ""median_spread"": 0.5742, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}]",12.0,-3.249,-2.9845,-0.7478,11.11,16.67,100.0,100.0,0.6417,-5.4553,-1.6849,0.0,"[{""block_id"": ""FWD_3"", ""cvar_delta"": 0.0, ""mean_spread"": -2.2511, ""median_spread"": -3.5809, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": -12.0422, ""mean_spread"": -7.7525, ""median_spread"": -8.1232, ""stop_delta_pct"": 22.22, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": -0.7478, ""mean_spread"": -0.2493, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": -3.4563, ""mean_spread"": -2.7432, ""median_spread"": -4.7732, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}]",18.0,-2.1341,-1.9925,-0.7478,9.26,16.67,98.15,94.44,0.7167,-4.1453,-0.6908,0.1667,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 0.0, ""mean_spread"": 0.1914, ""median_spread"": 0.5742, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}, {""block_id"": ""FWD_3"", ""cvar_delta"": 0.0, ""mean_spread"": -2.2511, ""median_spread"": -3.5809, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": -12.0422, ""mean_spread"": -7.7525, ""median_spread"": -8.1232, ""stop_delta_pct"": 22.22, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": -0.7478, ""mean_spread"": -0.2493, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": -3.4563, ""mean_spread"": -2.7432, ""median_spread"": -4.7732, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}]",False,False,False,False
TRACK_D_MECH__KNOCKOUT__freshness,mechanism,knockout,lane|dry_false_penalty|evidence_risk|eps_preference|weekly_volume|entry_volume,freshness,1,True,True,6,0.0,0.0,0.0,0.0,0.0,94.45,83.33,1.0,0.0,0.0,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",12.0,0.0254,0.0,-1.0231,-2.78,-8.33,100.0,100.0,0.9167,-0.1451,0.2214,0.25,"[{""block_id"": ""FWD_3"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": -1.0231, ""mean_spread"": 0.1017, ""median_spread"": 0.0, ""stop_delta_pct"": -11.11, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",18.0,0.017,0.0,-1.0231,-1.85,-5.56,98.15,94.44,0.9444,-0.0798,0.1476,0.1667,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_3"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": -1.0231, ""mean_spread"": 0.1017, ""median_spread"": 0.0, ""stop_delta_pct"": -11.11, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",False,False,False,False
TRACK_D_MECH__KNOCKOUT__eps_preference,mechanism,knockout,lane|dry_false_penalty|evidence_risk|freshness|weekly_volume|entry_volume,eps_preference,1,True,True,6,0.0,0.0,0.0,0.0,0.0,94.45,83.33,1.0,0.0,0.0,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",12.0,0.0723,0.0,0.0,0.0,0.0,100.0,100.0,0.9583,0.0,0.2169,0.25,"[{""block_id"": ""FWD_3"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": 0.0, ""mean_spread"": 0.2892, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",18.0,0.0482,0.0,0.0,0.0,0.0,98.15,94.44,0.9722,0.0,0.1446,0.1667,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_3"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": 0.0, ""mean_spread"": 0.2892, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",True,True,False,False
TRACK_D_MECH__KNOCKOUT__weekly_volume,mechanism,knockout,lane|dry_false_penalty|evidence_risk|freshness|eps_preference|entry_volume,weekly_volume,1,True,True,6,0.0,0.0,0.0,0.0,0.0,94.45,83.33,1.0,0.0,0.0,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",12.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,1.0,0.0,0.0,0.0,"[{""block_id"": ""FWD_3"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",18.0,0.0,0.0,0.0,0.0,0.0,98.15,94.44,1.0,0.0,0.0,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_3"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",True,True,False,False
TRACK_D_MECH__KNOCKOUT__entry_volume,mechanism,knockout,lane|dry_false_penalty|evidence_risk|freshness|eps_preference|weekly_volume,entry_volume,1,True,True,6,0.0,0.0,0.0,0.0,0.0,94.45,83.33,1.0,0.0,0.0,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",12.0,-0.0522,0.0,0.0,0.0,0.0,100.0,100.0,0.9167,-0.1554,0.0,0.0,"[{""block_id"": ""FWD_3"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": 0.0, ""mean_spread"": -0.2072, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": 0.0, ""mean_spread"": -0.0016, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",18.0,-0.0348,0.0,0.0,0.0,0.0,98.15,94.44,0.9444,-0.1036,0.0,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_3"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": 0.0, ""mean_spread"": -0.2072, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": 0.0, ""mean_spread"": -0.0016, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}]",True,True,False,False
