policy_id,family,policy_kind,components_kept,components_removed,removed_count,screen_shortlisted,confirmation_evaluated,screen_support_weeks,screen_mean_spread,screen_median_spread,screen_cvar_delta,screen_stop_delta_pct,screen_one_pick_ruins_delta_pct,screen_slot_coverage_pct,screen_full_top3_rate_pct,screen_jaccard_vs_b0,screen_ci_low,screen_ci_high,screen_positive_block_ratio,screen_block_summaries_json,confirmation_support_weeks,confirmation_mean_spread,confirmation_median_spread,confirmation_cvar_delta,confirmation_stop_delta_pct,confirmation_one_pick_ruins_delta_pct,confirmation_slot_coverage_pct,confirmation_full_top3_rate_pct,confirmation_jaccard_vs_b0,confirmation_ci_low,confirmation_ci_high,confirmation_positive_block_ratio,confirmation_block_summaries_json,pooled_support_weeks,pooled_mean_spread,pooled_median_spread,pooled_cvar_delta,pooled_stop_delta_pct,pooled_one_pick_ruins_delta_pct,pooled_slot_coverage_pct,pooled_full_top3_rate_pct,pooled_jaccard_vs_b0,pooled_ci_low,pooled_ci_high,pooled_positive_block_ratio,pooled_block_summaries_json,confirmation_risk_noninferior,pooled_risk_noninferior,b1_gate_pass,compression_gate_pass
TRACK_D_DSL__entry_proximity_two_stage_v1,agent,agent_b1,,,0,False,False,6,-9.3211,-9.5421,-1.3633,-5.56,0.0,33.33,0.0,0.3056,-10.9874,-4.199,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -0.0312, ""mean_spread"": -7.4787, ""median_spread"": -12.2409, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -1.3633, ""mean_spread"": -11.1634, ""median_spread"": -8.3471, ""stop_delta_pct"": -11.11, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
TRACK_D_DSL__ccm_gap_abstention_v1,agent,agent_b1,,,0,False,False,6,-2.9799,-3.0012,-1.3633,5.56,16.67,44.44,16.67,0.3389,-2.9799,-1.4287,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -0.0312, ""mean_spread"": -1.9382, ""median_spread"": -4.0596, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -1.3633, ""mean_spread"": -4.0216, ""median_spread"": -1.9429, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
TRACK_D_DSL__weekly_volume_confirmation_gate,agent,agent_b1,,,0,False,False,6,-1.0078,-1.6069,-2.9196,11.11,16.67,94.45,83.33,0.6667,-1.4944,-0.4721,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -2.9196, ""mean_spread"": -2.0156, ""median_spread"": -3.2138, ""stop_delta_pct"": 22.22, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
TRACK_D_DSL__divergence_triage_signal,agent,agent_b1,,,0,False,False,6,-2.4286,-1.3475,-1.3633,-5.56,0.0,38.89,0.0,0.3472,-2.9433,-1.4287,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -0.0312, ""mean_spread"": -1.9382, ""median_spread"": -4.0596, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -1.3633, ""mean_spread"": -2.9191, ""median_spread"": 1.3646, ""stop_delta_pct"": -11.11, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
TRACK_D_DSL__adaptive_capacity_abstention,agent,agent_b1,,,0,False,False,6,-2.9799,-3.0012,-1.3633,5.56,16.67,44.44,16.67,0.3389,-2.9799,-1.4287,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -0.0312, ""mean_spread"": -1.9382, ""median_spread"": -4.0596, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -1.3633, ""mean_spread"": -4.0216, ""median_spread"": -1.9429, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
TRACK_D_DSL__evidence_risk_two_tier_decomposition,agent,agent_b1,,,0,False,False,6,-1.3071,-3.2843,0.0,11.11,16.67,94.45,83.33,0.8333,-1.5195,-0.2123,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -1.2741, ""mean_spread"": -0.4247, ""median_spread"": 0.0, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 0.0, ""mean_spread"": -2.1896, ""median_spread"": -6.5687, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
TRACK_D_DSL__entry_volume_demand_conviction_test,agent,agent_b1,,,0,False,False,6,-4.8913,-6.0293,4.9377,-11.11,-16.67,33.33,0.0,0.25,-5.1722,1.6895,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 3.0225, ""mean_spread"": -0.9203, ""median_spread"": -4.0596, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 4.9377, ""mean_spread"": -8.8623, ""median_spread"": -0.8095, ""stop_delta_pct"": -22.22, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
TRACK_D_DSL__ruin_guard_two_stage,agent,agent_b1,,,0,False,False,6,-4.7617,-2.9998,-1.3633,-16.67,-33.33,33.33,0.0,0.3056,-5.4635,-0.724,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 4.2967, ""mean_spread"": -1.9713, ""median_spread"": -8.487, ""stop_delta_pct"": -22.22, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -1.3633, ""mean_spread"": -7.552, ""median_spread"": 2.4873, ""stop_delta_pct"": -11.11, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
TRACK_D_DSL__b0_continuous_breadth_rank,agent,agent_b1,,,0,True,True,6,0.5428,2.1328,0.0,5.55,16.67,94.45,83.33,0.8333,-0.1681,0.5428,0.5,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 0.0, ""mean_spread"": 1.0857, ""median_spread"": 4.2656, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}]",12.0,-2.2087,-2.6063,0.0248,5.55,16.67,100.0,100.0,0.4167,-4.06,0.6413,0.25,"[{""block_id"": ""FWD_3"", ""cvar_delta"": 4.3579, ""mean_spread"": -0.9032, ""median_spread"": -4.9252, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": -2.564, ""mean_spread"": -0.8547, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": 0.0248, ""mean_spread"": 0.7382, ""median_spread"": -2.6057, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": -2.6532, ""mean_spread"": -7.8152, ""median_spread"": -10.8566, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}]",18.0,-1.2915,-1.2478,0.0248,5.55,16.67,98.15,94.44,0.5556,-2.6379,0.6126,0.3333,"[{""block_id"": ""FWD_1"", ""cvar_delta"": 0.0, ""mean_spread"": 0.0, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": 0.0, ""mean_spread"": 1.0857, ""median_spread"": 4.2656, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}, {""block_id"": ""FWD_3"", ""cvar_delta"": 4.3579, ""mean_spread"": -0.9032, ""median_spread"": -4.9252, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_4"", ""cvar_delta"": -2.564, ""mean_spread"": -0.8547, ""median_spread"": 0.0, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_5"", ""cvar_delta"": 0.0248, ""mean_spread"": 0.7382, ""median_spread"": -2.6057, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}, {""block_id"": ""FWD_6"", ""cvar_delta"": -2.6532, ""mean_spread"": -7.8152, ""median_spread"": -10.8566, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}]",False,False,False,False
TRACK_D_DSL__vol_regime_quality_gate_no_dry_filter,agent,agent_b1,,,0,False,False,6,-6.0125,-4.7156,-1.3633,5.56,16.67,55.55,33.33,0.2833,-6.1208,-1.4287,0.0,"[{""block_id"": ""FWD_1"", ""cvar_delta"": -0.0312, ""mean_spread"": -1.9382, ""median_spread"": -4.0596, ""stop_delta_pct"": 0.0, ""support_weeks"": 3}, {""block_id"": ""FWD_2"", ""cvar_delta"": -1.3633, ""mean_spread"": -10.0868, ""median_spread"": -1.0739, ""stop_delta_pct"": 11.11, ""support_weeks"": 3}]",,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
