variant,date,code,event,signal_date,price
actionable_only_pool_order,2026-04-02,PFIS,repeat_signal_ignored,2026-04-02,
actionable_only_pool_order,2026-04-06,MRVL,entry,2026-04-02,109.37
actionable_only_pool_order,2026-04-10,MRVL,power_trigger,2026-04-02,123.24
actionable_only_pool_order,2026-04-06,ECO,entry,2026-04-02,46.12
actionable_only_pool_order,2026-08-05,ECO,profit_take,2026-04-02,56.497
actionable_only_pool_order,2026-04-10,SPIR,entry_missing,2026-04-10,
actionable_only_pool_order,2026-04-10,PFIS,repeat_signal_ignored,2026-04-10,
actionable_only_pool_order,2026-04-13,BVFL,entry,2026-04-10,19.86
actionable_only_pool_order,2026-04-20,CVEO,entry,2026-04-17,30.35
actionable_only_pool_order,2026-04-17,OVLY,entry_missing,2026-04-17,
actionable_only_pool_order,2026-04-20,JBHT,entry,2026-04-17,243.43
actionable_only_pool_order,2026-07-16,JBHT,profit_take,2026-04-17,298.20175
actionable_only_pool_order,2026-04-27,MSBI,entry,2026-04-24,24.8
actionable_only_pool_order,2026-06-26,MSBI,profit_take,2026-04-24,30.380000000000003
actionable_only_pool_order,2026-04-24,RNGR,entry_missing,2026-04-24,
actionable_only_pool_order,2026-04-27,BATRA,entry,2026-04-24,53.88
actionable_only_pool_order,2026-05-04,BEN,entry,2026-05-01,29.47
actionable_only_pool_order,2026-08-05,BEN,profit_take,2026-05-01,36.10075
actionable_only_pool_order,2026-05-01,IRM,entry_missing,2026-05-01,
actionable_only_pool_order,2026-05-01,MSBI,repeat_signal_ignored,2026-05-01,
actionable_only_pool_order,2026-05-08,CTS,entry_missing,2026-05-08,
actionable_only_pool_order,2026-05-11,FTNT,entry,2026-05-08,112.1
actionable_only_pool_order,2026-05-29,FTNT,profit_take,2026-05-08,137.3225
actionable_only_pool_order,2026-05-11,HWBK,entry,2026-05-08,36.47
actionable_only_pool_order,2026-05-18,CVS,entry,2026-05-15,95.11
actionable_only_pool_order,2026-05-18,NGS,entry,2026-05-15,42.18
actionable_only_pool_order,2026-05-29,NGS,stop_loss,2026-05-15,39.0165
actionable_only_pool_order,2026-05-15,JBHT,repeat_signal_ignored,2026-05-15,
actionable_only_pool_order,2026-05-22,CMPR,entry_missing,2026-05-22,
actionable_only_pool_order,2026-05-26,CLBK,entry,2026-05-22,9.24
actionable_only_pool_order,2026-07-20,CLBK,profit_take,2026-05-22,11.319
actionable_only_pool_order,2026-05-26,PKBK,entry,2026-05-22,31.45
actionable_only_pool_order,2026-06-01,H,entry,2026-05-29,181.4
actionable_only_pool_order,2026-07-30,H,stop_loss,2026-05-29,167.79500000000002
actionable_only_pool_order,2026-06-01,ILMN,entry,2026-05-29,160.85
actionable_only_pool_order,2026-07-23,ILMN,profit_take,2026-05-29,197.04125000000002
actionable_only_pool_order,2026-06-01,SBLK,entry,2026-05-29,25.81
actionable_only_pool_order,2026-06-26,SBLK,stop_loss,2026-05-29,23.87425
actionable_only_pool_order,2026-06-08,ATLO,entry,2026-06-05,29.86
actionable_only_pool_order,2026-06-08,SMBC,entry,2026-06-05,69.85
actionable_only_pool_order,2026-06-08,TWIN,entry,2026-06-05,19.99
actionable_only_pool_order,2026-08-04,TWIN,profit_take,2026-06-05,24.48775
actionable_only_pool_order,2026-06-15,FUNC,entry,2026-06-12,41.82
actionable_only_pool_order,2026-06-15,FVR,entry,2026-06-12,19.79
actionable_only_pool_order,2026-06-12,LYTS,entry_missing,2026-06-12,
actionable_only_pool_order,2026-06-22,ADI,entry,2026-06-18,437.75
actionable_only_pool_order,2026-06-23,ADI,stop_loss,2026-06-18,404.91875000000005
actionable_only_pool_order,2026-06-22,ESI,entry,2026-06-18,46.49
actionable_only_pool_order,2026-07-02,ESI,stop_loss,2026-06-18,43.00325
actionable_only_pool_order,2026-06-22,CW,entry,2026-06-18,780.73
actionable_only_pool_order,2026-07-16,CW,stop_loss,2026-06-18,722.17525
actionable_only_pool_order,2026-06-29,BWB,entry,2026-06-26,20.83
actionable_only_pool_order,2026-06-29,QCRH,entry,2026-06-26,98.0
actionable_only_pool_order,2026-06-29,KRT,entry,2026-06-26,31.19
actionable_only_pool_order,2026-07-20,KRT,profit_take,2026-06-26,38.207750000000004
actionable_only_pool_order,2026-07-06,BSET,entry,2026-07-02,20.15
actionable_only_pool_order,2026-07-08,BSET,stop_loss,2026-07-02,18.638749999999998
actionable_only_pool_order,2026-07-06,MATX,entry,2026-07-02,203.94
actionable_only_pool_order,2026-07-02,NUTX,entry_missing,2026-07-02,
actionable_only_pool_order,2026-07-13,BSVN,entry,2026-07-10,51.48
actionable_only_pool_order,2026-07-23,BSVN,stop_loss,2026-07-10,47.619
actionable_only_pool_order,2026-07-13,RAPP,entry,2026-07-10,41.12
actionable_only_pool_order,2026-07-10,IGIC,entry_missing,2026-07-10,
actionable_only_pool_order,2026-07-17,HTO,entry_missing,2026-07-17,
actionable_only_pool_order,2026-07-20,KARO,entry,2026-07-17,62.69
actionable_only_pool_order,2026-07-20,LQDT,entry,2026-07-17,39.57
actionable_only_pool_order,2026-07-27,PKG,entry,2026-07-24,255.53
actionable_only_pool_order,2026-07-24,QCRH,repeat_signal_ignored,2026-07-24,
actionable_only_pool_order,2026-07-27,STBA,entry,2026-07-24,51.62
actionable_only_pool_order,2026-08-03,CNK,entry,2026-07-31,37.0
actionable_only_pool_order,2026-08-03,RCKY,entry,2026-07-31,49.5
actionable_only_pool_order,2026-08-19,RCKY,stop_loss,2026-07-31,45.7875
actionable_only_pool_order,2026-08-03,MSBI,entry,2026-07-31,33.91
actionable_only_pool_order,2026-08-10,CFFI,entry,2026-08-07,86.3
actionable_only_pool_order,2026-08-10,JHX,entry,2026-08-07,30.63
actionable_only_pool_order,2026-08-10,SWK,entry,2026-08-07,102.48
allow_zero_strict,2025-10-24,IBM,entry_missing,2025-10-24,
allow_zero_strict,2025-10-27,AAPL,entry,2025-10-24,263.91
allow_zero_strict,2026-01-20,AAPL,stop_loss,2025-10-24,244.11675000000002
allow_zero_strict,2025-10-31,SOFI,entry_missing,2025-10-31,
allow_zero_strict,2025-11-03,VTR,entry,2025-10-31,71.73
allow_zero_strict,2026-04-30,VTR,profit_take,2025-10-31,87.86925000000001
