code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry,eps_yoy_growth_source
AEHR,2026-04-10,True,ceiling_breakout,,ceiling,52.45,ceiling_breakout,,1.0,2026-04-08,57.35,52.45,5.73197451418325,0.2041944709246901,0.7260755048287968,0.940298507462686,ceiling,,70.43,34.28,EXTENDED,3.5860268094042915,0.0,2026-04-06,34.3,0,0,52.45,2023-08-28,-88.0,8,136,88.0,5.202898550724638,1.0,0,,,,True,True,-400.0,72.5,-2.8551724137930945,Electronic Technology,Electronic Production Equipment,SEC
AAOI,2026-04-10,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,105.57,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-04-06"", ""ma10_prior_week"": 75.033, ""pending_high"": 105.57, ""touch_date"": ""2026-03-30""}",1.0,2026-04-06,110.04,105.57,1.7387249200527444,0.0178080894193426,0.1937345424567194,0.1549876339653757,ma10_touch_confirm,,150.6,42.65,EXTENDED,1.914705966628799,245.3,2026-01-26,249.8,2,0,43.05,2024-11-25,-77.4,3,61,77.4,4.7898550724637685,2.0,1,3.0,-34.4,16.8,True,True,33.3333333333,154.75,-2.681744749596126,Electronic Technology,Semiconductors,SEC
INTC,2026-04-10,True,ceiling_breakout,,ceiling,50.6,ceiling_breakout,,1.0,2026-04-08,55.37,50.6,1.9345289245555943,0.1650197628458498,0.9496567505720828,1.9107551487414172,ceiling,,62.38,23.28,EXTENDED,1.6239004367154348,0.0,2026-04-06,23.3,0,0,50.6,2023-12-25,-65.1,8,119,65.1,4.768115942028986,3.0,0,,,,True,True,123.1958762887,63.39,-1.5933112478308864,Electronic Technology,Semiconductors,SEC
WDC,2026-04-10,True,pivot,False,pivot,309.75,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 309.75, ""resistance_date"": ""2026-04-06""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,343.43,10.87,UNCONFIRMED,0.9068586552024206,443.9,2025-06-23,467.7,4,0,60.49,2024-07-08,-52.5,3,50,52.5,4.311594202898551,4.0,6,3.0,-15.5,7.4,True,False,190.1840490798,349.75,-1.8070050035739804,Electronic Technology,Computer Peripherals,SEC
SNDK,2026-04-10,True,pivot,True,pivot,777.6,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 777.6, ""resistance_date"": ""2026-04-06""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,851.77,9.54,UNCONFIRMED,0.9098392067806034,1142.6,2025-09-01,1429.5,4,1,55.69,2025-03-24,-49.9,2,23,49.9,4.239130434782608,5.0,5,4.0,-28.2,9.5,True,False,615.2777777778,873.95,-2.5379026260083593,Electronic Technology,Computer Peripherals,SEC
TER,2026-04-10,True,pivot,False,pivot,327.0,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 327.0, ""resistance_date"": ""2026-04-06""}, {""box_type"": ""S_BOX"", ""price"": 327.0, ""resistance_date"": ""2026-04-06""}], ""selected_pivot"": {""box_type"": ""M_BOX"", ""price"": 327.0, ""resistance_date"": ""2026-04-06""}}",1.0,2026-04-08,344.03,327.0,1.6198134265569053,0.0956880733944953,0.9785981808453732,1.6741573033707875,pivot,,367.99,12.54,EXTENDED,1.11619823169245,102.5,2025-11-24,129.8,2,1,160.12,2024-07-08,-59.1,3,72,59.1,4.2101449275362315,6.0,2,8.0,-19.6,12.5,True,False,-15.7303370787,373.0,-1.3431635388739926,Electronic Technology,Electronic Production Equipment,SEC
COHR,2026-04-10,True,pivot,False,pivot,276.5,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 276.5, ""resistance_date"": ""2026-04-06""}, {""box_type"": ""S_BOX"", ""price"": 276.5, ""resistance_date"": ""2026-04-06""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,307.5,11.21,UNCONFIRMED,0.922768615608206,164.3,2025-10-13,170.7,3,1,113.6,2024-12-02,-59.9,2,45,59.9,4.202898550724638,7.0,5,7.0,-22.0,11.2,True,False,72.7272727273,310.98,-1.119043025274946,Electronic Technology,Semiconductors,SEC
STX,2026-04-10,True,pivot,False,pivot,458.61,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 458.61, ""resistance_date"": ""2026-04-06""}, {""box_type"": ""S_BOX"", ""price"": 458.61, ""resistance_date"": ""2026-04-06""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,503.13,9.71,UNCONFIRMED,1.3128480975747805,332.1,2025-05-26,348.8,7,1,112.1,2024-10-14,-44.3,2,32,44.3,4.173913043478261,8.0,7,9.0,-25.6,9.7,True,True,67.7419354839,517.18,-2.716655709810889,Electronic Technology,Computer Peripherals,SEC
SMTC,2026-04-10,True,10_wk_ema_touch_confirm,,ma10_touch_confirm,83.37,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-04-06"", ""ma10_prior_week"": 82.564, ""pending_high"": 83.37, ""touch_date"": ""2026-03-30""}",1.0,2026-04-10,92.1,83.37,1.628676071544178,0.0221902362960297,0.1202046035805624,0.2365728900255749,ma10_touch_confirm,,85.22,2.22,ACTIONABLE,1.262334317478904,3.1,2026-03-30,12.5,1,0,75.75,2025-01-13,-68.3,6,63,68.3,4.101449275362319,9.0,0,,,,True,False,70.0,96.46,-11.652498444951275,Electronic Technology,Semiconductors,SEC
FN,2026-04-10,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,630.92,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-04-06"", ""ma10_prior_week"": 518.847, ""pending_high"": 630.92, ""touch_date"": ""2026-03-02""}",0.0,,,,,,,,,daily_volume_not_confirmed,662.13,4.95,UNCONFIRMED,1.2995221714877971,124.0,2025-06-23,135.0,6,0,281.79,2024-08-19,-47.3,3,44,47.3,4.072463768115942,10.0,11,6.0,-15.4,18.7,True,False,30.6722689076,679.57,-2.566328707859389,Unknown,Unknown,SEC
