lane,count,w4_count,w4_mean,w4_median,w4_cvar10,w4_stop8_rate_pct
fresh_demand_alpha,140,130,4.0929069230769235,2.1755500000000003,-16.966738461538462,20.714285714285715
standard_breakout,44,39,3.321794871794872,2.1635,-17.74635,27.27272727272727
constructive_pullback,1162,1016,0.7921489173228347,1.27005,-19.686657843137255,27.62478485370052
incomplete_evidence,967,868,1.3507771889400921,0.5841,-29.543083908045976,41.778697001034125
tail_risk,425,365,-1.3215978082191782,-0.1424,-28.007705405405407,35.294117647058826
