selector_id,classification,train_oof_w4_med_spread,train_oof_w4_cvar_delta,train_oof_w4_stop_delta,val_w4_med_spread,val_w4_mean_spread,val_w4_cvar_delta,val_w4_stop_delta,val_support_weeks
signal_agent_elastic_w1_distinct_industry,INFERIOR,8.0312,2.9119,14.285714285714285,-0.15328333333333355,-6.581299999999999,-14.264733333333329,29.166666666666664,8
actionable_f1_lgbm_w1_distinct_industry,PARETO PEER,0.9813833333333335,0.869766666666667,-5.555555555555555,-0.1738666666666666,0.12538518518518535,12.564933333333332,-3.703703703703705,9
actionable_f1_lgbm_w1_portfolio_aware,PARETO PEER,0.9813833333333335,0.869766666666667,-5.555555555555555,-0.1738666666666666,0.12538518518518535,12.564933333333332,-3.703703703703705,9
actionable_f1_lgbm_w1_pure_rank,PARETO PEER,0.9708000000000001,0.869766666666667,0.0,-0.24200000000000005,-0.16399166666666654,14.257866666666667,-4.166666666666668,8
actionable_agent_elastic_w2_pure_rank,PARETO PEER,-1.5923166666666666,-3.374933333333333,11.111111111111112,-0.5755666666666663,-4.203555555555556,1.9026333333333323,33.33333333333333,9
actionable_agent_elastic_w2_distinct_industry,PARETO PEER,-0.33299999999999985,0.869766666666667,5.555555555555555,-0.5755666666666663,-4.412751851851853,1.9026333333333323,37.03703703703704,9
actionable_agent_elastic_w2_portfolio_aware,PARETO PEER,0.5300333333333335,0.869766666666667,11.111111111111112,-0.5755666666666663,-4.412751851851853,1.9026333333333323,37.03703703703704,9
signal_agent_elastic_w1_portfolio_aware,INFERIOR,8.0312,2.9119,14.285714285714285,-0.6401833333333337,-6.7030249999999985,-14.264733333333329,29.166666666666664,8
actionable_f1_lgbm_w2_pure_rank,INFERIOR,0.1305000000000014,-8.819033333333334,1.586032892321652e-15,-0.6549333333333334,-0.8450074074074074,4.274733333333332,11.11111111111111,9
signal_agent_elastic_w1_pure_rank,INFERIOR,-2.3164999999999996,-2.3164999999999996,23.80952380952381,-0.9484666666666666,-7.000999999999999,-14.264733333333329,37.5,8
actionable_agent_lgbm_w1_distinct_industry,PARETO PEER,1.0563166666666675,0.869766666666667,0.0,-1.7669833333333336,0.971191666666667,12.884766666666666,8.333333333333332,8
actionable_agent_lgbm_w1_portfolio_aware,PARETO PEER,1.0563166666666675,0.869766666666667,0.0,-1.7669833333333336,0.971191666666667,12.884766666666666,8.333333333333332,8
