selector_id,segment,horizon,weeks,mean_return_pct,median_return_pct,p10_pct,p90_pct,cvar10_pct,cvar20_pct,top10_mean_pct,top20_mean_pct,tail_ratio10,negative_week_rate_pct,worst_week_pct,avg_stop_rate_pct,one_pick_ruins_rate_pct,avg_worst_loss_conc_pct,avg_best_gain_conc_pct
B0,contaminated_validation,W1,11,0.410439393939394,0.6892,-2.0633333333333335,3.459,-4.923516666666666,-3.251722222222222,3.7249499999999998,3.195233333333333,0.7565628903459926,18.181818181818183,-7.7837,12.12121212121212,0.0,89.41616506825596,76.29743496432823
B0,contaminated_validation,W2,11,0.6596272727272727,1.6008000000000002,-4.704666666666667,6.872133333333333,-8.089583333333334,-6.442211111111111,7.964650000000001,7.2488222222222225,0.9845562709245429,45.45454545454545,-11.4745,18.18181818181818,0.0,63.31865206313635,69.06255931258474
B0,contaminated_validation,W3,10,1.6654166666666668,1.0141500000000003,-3.7159433333333327,9.890026666666666,-11.395433333333335,-7.12905,12.789466666666668,11.178666666666668,1.122332630322673,30.0,-11.395433333333335,16.666666666666664,0.0,84.08997868816964,70.42729249771807
B0,contaminated_validation,W4,9,2.0072925925925924,3.7727333333333335,-6.465726666666667,9.060900000000002,-16.656766666666666,-10.287366666666667,14.597166666666666,11.137,0.8763505522280235,33.333333333333336,-16.656766666666666,18.51851851851852,33.33333333333333,92.97059311922625,67.33616081690819
B0,train_oof,W1,14,0.651752380952381,0.8093000000000002,-4.47158,4.995280000000001,-4.728933333333334,-4.446433333333334,7.3186833333333325,6.142711111111111,1.5476393548932807,42.857142857142854,-4.733366666666667,14.285714285714285,16.666666666666664,85.28161781566065,82.52521047029767
B0,train_oof,W2,14,0.8573547619047621,0.07568333333333326,-7.358773333333333,9.751706666666674,-9.606533333333333,-7.5249,12.571333333333335,10.289277777777778,1.308623298033283,35.714285714285715,-10.141233333333334,26.190476190476193,0.0,87.33952698728076,87.1558031136485
B0,train_oof,W3,14,2.7239357142857137,1.7157166666666668,-6.415543333333334,13.525676666666673,-9.609,-7.781833333333334,17.048783333333333,14.62422222222222,1.7742515697089534,35.714285714285715,-11.821866666666665,26.190476190476193,40.0,87.59294239030034,83.30930915747903
B0,train_oof,W4,14,5.444804761904762,3.517433333333333,-6.958846666666666,26.441873333333344,-8.873283333333333,-7.741077777777778,30.896683333333332,26.814777777777778,3.4819899435947232,42.857142857142854,-10.1525,30.95238095238095,16.666666666666664,87.74105150349014,86.73946743329026
actionable_agent_elastic_w1_distinct_industry,contaminated_validation,W1,9,-1.2271074074074073,-0.7837333333333328,-4.716733333333333,2.258886666666667,-6.712599999999999,-5.465183333333333,4.324033333333333,3.033316666666667,0.6441666914955955,55.55555555555556,-6.712599999999999,14.814814814814813,20.0,81.02465020097924,82.9270009554665
actionable_agent_elastic_w1_distinct_industry,contaminated_validation,W2,9,-1.8930148148148147,-2.5237000000000003,-7.780693333333334,3.6851000000000003,-9.348266666666667,-8.368533333333334,4.587366666666667,4.02345,0.4907184219534459,66.66666666666667,-9.348266666666667,29.629629629629626,0.0,76.1383521958111,87.1945542061193
actionable_agent_elastic_w1_distinct_industry,contaminated_validation,W3,8,-1.4742333333333328,-3.5557166666666666,-9.522663333333332,7.159309999999999,-11.814533333333332,-10.177483333333331,11.155166666666666,8.300983333333333,0.9441902064124412,62.5,-11.814533333333332,37.5,0.0,81.63727098172228,92.56649208537266
actionable_agent_elastic_w1_distinct_industry,contaminated_validation,W4,6,-2.5474722222222224,-2.2627333333333333,-13.405183333333333,8.0255,-13.6449,-13.405183333333333,11.754799999999998,8.0255,0.861479380574427,50.0,-13.6449,50.0,0.0,85.98453125301384,84.61044889784533
actionable_agent_elastic_w1_distinct_industry,train_oof,W1,9,1.022237037037037,0.9401999999999999,-3.7131466666666664,5.2429266666666665,-5.483066666666667,-4.3768666666666665,5.8325,5.464016666666666,1.0637295430780827,33.333333333333336,-5.483066666666667,11.11111111111111,0.0,74.64165803861195,73.29952837535448
actionable_agent_elastic_w1_distinct_industry,train_oof,W2,9,-0.8678222222222224,0.0798333333333332,-5.3354,2.893226666666668,-8.3506,-6.4661,8.983866666666666,5.177216666666666,1.075834870149051,44.44444444444444,-8.3506,22.22222222222222,0.0,79.5194387175104,79.69649923360151
