eps_mode,variant,signal_wide,actionable_gate,eps_gate,industry_cover,core_quality_gate,proximity_reorder,pullback_dry_hard_filter,geometry_caution_hard_filter,relaxed_fill,rule_count,weeks,valid_weeks,picks,median_week_avg_latest_return_pct,p25_week_avg_latest_return_pct,p75_week_avg_latest_return_pct,min_week_avg_latest_return_pct,max_week_avg_latest_return_pct,median_worst_pick_return_pct,min_worst_pick_return_pct,pick_top5_precision,pick_bottom5_precision_bad,pick_stop_rate,top3_coverage,top5_coverage,gain5_coverage,bottom3_exposure_vs_slots,bottom5_exposure_vs_slots,stop_exposure_vs_all_stops,rank_weighted_week_return_median,rank_weighted_week_return_min,rank_weighted_week_return_max,backtest_engine,initial_capital,stop_loss_pct,input_picks,requested_symbols,loaded_symbols,final_value,total_return_pct,max_drawdown_pct,trade_events,stop_events,rebalance_events,start_date,end_date,imax_selected,imax_pick_order
no_eps,grid_act_noeps_ind_prox_keep_strict,False,True,none,True,True,True,False,False,False,4,40,35,101,18.037657,8.284235500000001,27.107606166666667,-12.411083999999999,111.86084266666667,11.898034,-40.091463,0.12871287128712872,0.16831683168316833,0.1782178217821782,0.05555555555555555,0.06341463414634146,0.07317073170731707,0.0873015873015873,0.08292682926829269,0.03130434782608696,15.677951999999998,-3.1842909999999995,125.1870222,backtrader,10000.0,8.0,101,97,60,16979.4328,69.79432799999998,-16.97071922138511,120,7,40,2025-10-24,2026-08-21,True,3.0
no_eps,grid_act_noeps_ind_prox_keep_relaxed,False,True,none,True,True,True,False,False,True,5,40,35,101,18.037657,8.284235500000001,27.107606166666667,-12.411083999999999,111.86084266666667,11.898034,-40.091463,0.12871287128712872,0.16831683168316833,0.1782178217821782,0.05555555555555555,0.06341463414634146,0.07317073170731707,0.0873015873015873,0.08292682926829269,0.03130434782608696,15.677951999999998,-3.1842909999999995,125.1870222,backtrader,10000.0,8.0,101,97,60,16979.4328,69.79432799999998,-16.97071922138511,120,7,40,2025-10-24,2026-08-21,True,3.0
no_eps,grid_act_noeps_ind_prox_nodry_relaxed,False,True,none,True,True,True,True,False,True,6,40,35,101,18.037657,8.284235500000001,27.107606166666667,-12.411083999999999,111.86084266666667,11.898034,-40.091463,0.12871287128712872,0.16831683168316833,0.1782178217821782,0.05555555555555555,0.06341463414634146,0.07317073170731707,0.0873015873015873,0.08292682926829269,0.03130434782608696,16.33078145833333,-3.1842909999999995,125.1870222,backtrader,10000.0,8.0,101,97,60,16979.4328,69.79432799999998,-16.97071922138511,120,7,40,2025-10-24,2026-08-21,True,3.0
no_eps,grid_sig_noeps_ind_prox_keep_strict,True,False,none,True,True,True,False,False,False,3,40,35,101,18.037657,8.284235500000001,27.107606166666667,-12.411083999999999,111.86084266666667,11.898034,-40.091463,0.12871287128712872,0.16831683168316833,0.1782178217821782,0.05555555555555555,0.06341463414634146,0.07317073170731707,0.0873015873015873,0.08292682926829269,0.03130434782608696,15.677951999999998,-3.1842909999999995,125.1870222,backtrader,10000.0,8.0,101,97,60,16979.4328,69.79432799999998,-16.97071922138511,120,7,40,2025-10-24,2026-08-21,True,3.0
no_eps,grid_sig_noeps_ind_prox_keep_relaxed,True,False,none,True,True,True,False,False,True,4,40,35,101,18.037657,8.284235500000001,27.107606166666667,-12.411083999999999,111.86084266666667,11.898034,-40.091463,0.12871287128712872,0.16831683168316833,0.1782178217821782,0.05555555555555555,0.06341463414634146,0.07317073170731707,0.0873015873015873,0.08292682926829269,0.03130434782608696,15.677951999999998,-3.1842909999999995,125.1870222,backtrader,10000.0,8.0,101,97,60,16979.4328,69.79432799999998,-16.97071922138511,120,7,40,2025-10-24,2026-08-21,True,3.0
no_eps,grid_sig_noeps_ind_prox_nodry_relaxed,True,False,none,True,True,True,True,False,True,5,40,35,101,18.037657,8.284235500000001,27.107606166666667,-12.411083999999999,111.86084266666667,11.898034,-40.091463,0.12871287128712872,0.16831683168316833,0.1782178217821782,0.05555555555555555,0.06341463414634146,0.07317073170731707,0.0873015873015873,0.08292682926829269,0.03130434782608696,16.33078145833333,-3.1842909999999995,125.1870222,backtrader,10000.0,8.0,101,97,60,16979.4328,69.79432799999998,-16.97071922138511,120,7,40,2025-10-24,2026-08-21,True,3.0
no_eps,grid_act_noeps_ind_prox_clean_relaxed,False,True,none,True,True,True,True,True,True,7,40,34,101,17.977263999999998,7.828171666666666,30.336332000000002,-12.411083999999999,111.86084266666667,12.0305535,-40.091463,0.1188118811881188,0.15841584158415842,0.1782178217821782,0.05555555555555555,0.05853658536585366,0.06829268292682927,0.0873015873015873,0.07804878048780488,0.03130434782608696,15.174445166666665,-3.1842909999999995,125.1870222,backtrader,10000.0,8.0,101,99,60,16748.453200000004,67.48453200000004,-16.97071922138511,115,6,40,2025-10-24,2026-08-21,False,
no_eps,grid_sig_noeps_ind_prox_clean_relaxed,True,False,none,True,True,True,True,True,True,6,40,34,101,17.977263999999998,7.828171666666666,30.336332000000002,-12.411083999999999,111.86084266666667,12.0305535,-40.091463,0.1188118811881188,0.15841584158415842,0.1782178217821782,0.05555555555555555,0.05853658536585366,0.06829268292682927,0.0873015873015873,0.07804878048780488,0.03130434782608696,15.174445166666665,-3.1842909999999995,125.1870222,backtrader,10000.0,8.0,101,99,60,16748.453200000004,67.48453200000004,-16.97071922138511,115,6,40,2025-10-24,2026-08-21,False,
no_eps,grid_act_noeps_ind_def_clean_strict,False,True,none,True,True,False,True,True,False,5,36,28,83,16.7422235,7.985445,28.17563129166667,-12.411083999999999,193.529095,10.9246485,-40.091463,0.0963855421686747,0.12048192771084337,0.13253012048192772,0.03968253968253968,0.03902439024390244,0.04878048780487805,0.047619047619047616,0.04878048780487805,0.019130434782608695,10.151574875000001,-3.1842909999999995,193.529095,backtrader,10000.0,8.0,83,82,49,16466.0032,64.66003199999999,-10.869418044525458,83,2,36,2025-10-24,2026-08-21,False,
no_eps,grid_sig_noeps_ind_def_clean_strict,True,False,none,True,True,False,True,True,False,4,36,28,83,16.7422235,7.985445,28.17563129166667,-12.411083999999999,193.529095,10.9246485,-40.091463,0.0963855421686747,0.12048192771084337,0.13253012048192772,0.03968253968253968,0.03902439024390244,0.04878048780487805,0.047619047619047616,0.04878048780487805,0.019130434782608695,10.151574875000001,-3.1842909999999995,193.529095,backtrader,10000.0,8.0,83,82,49,16466.0032,64.66003199999999,-10.869418044525458,83,2,36,2025-10-24,2026-08-21,False,
