eps_mode,variant,rule,entry_status,universe_top5,picks,top5_picks,gain5_picks,bottom5_picks,stop_picks
no_eps,grid_act_noeps_ind_prox_keep_strict,ceiling,EXTENDED,28,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_strict,ceiling,UNCONFIRMED,21,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_strict,ceiling_pullback,ACTIONABLE,2,4,1,1,2,1
no_eps,grid_act_noeps_ind_prox_keep_strict,ceiling_pullback,EXTENDED,3,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_strict,ceiling_pullback,UNCONFIRMED,4,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_strict,ma10_touch_confirm,ACTIONABLE,8,14,3,3,2,4
no_eps,grid_act_noeps_ind_prox_keep_strict,ma10_touch_confirm,EXTENDED,10,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_strict,ma10_touch_confirm,UNCONFIRMED,32,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_strict,pivot,ACTIONABLE,13,12,3,3,2,2
no_eps,grid_act_noeps_ind_prox_keep_strict,pivot,EXTENDED,22,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_strict,pivot,UNCONFIRMED,43,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_strict,three_weeks_tight,ACTIONABLE,1,1,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_strict,three_weeks_tight,EXTENDED,1,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_strict,three_weeks_tight,UNCONFIRMED,1,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_relaxed,ceiling,ACTIONABLE,16,70,6,8,11,11
no_eps,grid_act_noeps_ind_prox_keep_relaxed,ceiling,EXTENDED,28,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_relaxed,ceiling,UNCONFIRMED,21,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_relaxed,ceiling_pullback,ACTIONABLE,2,4,1,1,2,1
no_eps,grid_act_noeps_ind_prox_keep_relaxed,ceiling_pullback,EXTENDED,3,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_relaxed,ceiling_pullback,UNCONFIRMED,4,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_relaxed,ma10_touch_confirm,ACTIONABLE,8,14,3,3,2,4
no_eps,grid_act_noeps_ind_prox_keep_relaxed,ma10_touch_confirm,EXTENDED,10,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_relaxed,ma10_touch_confirm,UNCONFIRMED,32,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_relaxed,pivot,ACTIONABLE,13,12,3,3,2,2
no_eps,grid_act_noeps_ind_prox_keep_relaxed,pivot,EXTENDED,22,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_relaxed,pivot,UNCONFIRMED,43,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_relaxed,three_weeks_tight,ACTIONABLE,1,1,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_relaxed,three_weeks_tight,EXTENDED,1,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_keep_relaxed,three_weeks_tight,UNCONFIRMED,1,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_nodry_strict,ceiling,ACTIONABLE,16,70,6,8,11,11
no_eps,grid_act_noeps_ind_prox_nodry_strict,ceiling,EXTENDED,28,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_nodry_strict,ceiling,UNCONFIRMED,21,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_nodry_strict,ceiling_pullback,ACTIONABLE,2,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_nodry_strict,ceiling_pullback,EXTENDED,3,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_nodry_strict,ceiling_pullback,UNCONFIRMED,4,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_nodry_strict,ma10_touch_confirm,ACTIONABLE,8,9,2,2,0,1
no_eps,grid_act_noeps_ind_prox_nodry_strict,ma10_touch_confirm,EXTENDED,10,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_nodry_strict,ma10_touch_confirm,UNCONFIRMED,32,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_nodry_strict,pivot,ACTIONABLE,13,7,2,2,1,0
no_eps,grid_act_noeps_ind_prox_nodry_strict,pivot,EXTENDED,22,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_nodry_strict,pivot,UNCONFIRMED,43,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_nodry_strict,three_weeks_tight,ACTIONABLE,1,1,0,0,0,0
no_eps,grid_act_noeps_ind_prox_nodry_strict,three_weeks_tight,EXTENDED,1,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_nodry_strict,three_weeks_tight,UNCONFIRMED,1,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_nodry_relaxed,ceiling,ACTIONABLE,16,70,6,8,11,11
no_eps,grid_act_noeps_ind_prox_nodry_relaxed,ceiling,EXTENDED,28,0,0,0,0,0
