eps_mode,variant,rule,entry_status,universe_top5,picks,top5_picks,gain5_picks,bottom5_picks,stop_picks
no_eps,research_fresh_demand_proximity_first,ma10_touch_confirm,EXTENDED,10,0,0,0,0,0
no_eps,research_fresh_demand_proximity_first,ma10_touch_confirm,UNCONFIRMED,32,0,0,0,0,0
no_eps,research_fresh_demand_proximity_first,pivot,ACTIONABLE,13,12,3,3,2,2
no_eps,research_fresh_demand_proximity_first,pivot,EXTENDED,22,0,0,0,0,0
no_eps,research_fresh_demand_proximity_first,pivot,UNCONFIRMED,43,0,0,0,0,0
no_eps,research_fresh_demand_proximity_first,three_weeks_tight,ACTIONABLE,1,1,0,0,0,0
no_eps,research_fresh_demand_proximity_first,three_weeks_tight,EXTENDED,1,0,0,0,0,0
no_eps,research_fresh_demand_proximity_first,three_weeks_tight,UNCONFIRMED,1,0,0,0,0,0
no_eps,research_pullback_vcp_lane_interleave,ceiling,ACTIONABLE,16,24,4,5,8,5
no_eps,research_pullback_vcp_lane_interleave,ceiling,EXTENDED,28,0,0,0,0,0
no_eps,research_pullback_vcp_lane_interleave,ceiling,UNCONFIRMED,21,0,0,0,0,0
no_eps,research_pullback_vcp_lane_interleave,ceiling_pullback,ACTIONABLE,2,6,1,1,2,2
no_eps,research_pullback_vcp_lane_interleave,ceiling_pullback,EXTENDED,3,0,0,0,0,0
no_eps,research_pullback_vcp_lane_interleave,ceiling_pullback,UNCONFIRMED,4,0,0,0,0,0
no_eps,research_pullback_vcp_lane_interleave,ma10_touch_confirm,ACTIONABLE,8,27,5,4,2,5
no_eps,research_pullback_vcp_lane_interleave,ma10_touch_confirm,EXTENDED,10,0,0,0,0,0
no_eps,research_pullback_vcp_lane_interleave,ma10_touch_confirm,UNCONFIRMED,32,0,0,0,0,0
no_eps,research_pullback_vcp_lane_interleave,pivot,ACTIONABLE,13,41,6,7,5,8
no_eps,research_pullback_vcp_lane_interleave,pivot,EXTENDED,22,0,0,0,0,0
no_eps,research_pullback_vcp_lane_interleave,pivot,UNCONFIRMED,43,0,0,0,0,0
no_eps,research_pullback_vcp_lane_interleave,three_weeks_tight,ACTIONABLE,1,3,0,0,1,1
