eps_mode,variant,signal_wide,actionable_gate,eps_gate,industry_cover,core_quality_gate,proximity_reorder,pullback_dry_hard_filter,geometry_caution_hard_filter,relaxed_fill,rule_count,weeks,valid_weeks,picks,median_week_avg_latest_return_pct,p25_week_avg_latest_return_pct,p75_week_avg_latest_return_pct,min_week_avg_latest_return_pct,max_week_avg_latest_return_pct,median_worst_pick_return_pct,min_worst_pick_return_pct,pick_top5_precision,pick_bottom5_precision_bad,pick_stop_rate,top3_coverage,top5_coverage,gain5_coverage,bottom3_exposure_vs_slots,bottom5_exposure_vs_slots,stop_exposure_vs_all_stops,rank_weighted_week_return_median,rank_weighted_week_return_min,rank_weighted_week_return_max,backtest_engine,initial_capital,stop_loss_pct,input_picks,requested_symbols,loaded_symbols,final_value,total_return_pct,max_drawdown_pct,trade_events,stop_events,rebalance_events,start_date,end_date,imax_selected,imax_pick_order,rebalance_coverage_ratio,pick_coverage_ratio,final_value_delta,total_return_delta,max_drawdown_delta,stop_events_delta,pareto_frontier,grid_status
no_eps,grid_sig_noeps_ind_prox_nodry_strict,True,False,none,True,True,True,True,False,False,4,37,30,87,18.0946405,8.171598583333333,23.462997,-12.411084,193.529095,12.0035625,-40.091463,0.1149425287356321,0.1379310344827586,0.1379310344827586,0.0476190476190476,0.048780487804878,0.0585365853658536,0.0555555555555555,0.0585365853658536,0.0208695652173913,15.658673333333333,-3.1842909999999995,193.529095,backtrader,10000.0,8.0,87,84,51,16094.4604,60.94460399999999,-10.873665016931476,95,3,37,2025-10-24,2026-08-21,True,3.0,0.925,0.8207547169811321,2740.1684,27.401684,9.047299,-4.0,True,high_return_low_coverage
no_eps,grid_sig_noeps_noind_prox_clean_strict,True,False,none,False,True,True,True,True,False,4,36,28,86,15.1288965,7.193130999999999,24.56098825,-12.411084,193.529095,10.9246485,-40.091463,0.1046511627906976,0.1162790697674418,0.127906976744186,0.0476190476190476,0.0439024390243902,0.0536585365853658,0.0476190476190476,0.048780487804878,0.0191304347826086,8.850399,-3.1842909999999995,193.529095,backtrader,10000.0,8.0,86,85,51,14745.210399999996,47.45210399999997,-14.758864307386698,87,2,36,2025-10-24,2026-08-21,False,,0.9,0.8113207547169812,1390.9184,13.909184,5.1621,-5.0,True,high_return_low_coverage
no_eps,grid_sig_noeps_noind_def_clean_strict,True,False,none,False,True,False,True,True,False,3,36,28,86,15.1288965,7.640847875,24.56098825,-12.411084,193.529095,10.9246485,-40.091463,0.0930232558139534,0.1162790697674418,0.127906976744186,0.0396825396825396,0.0390243902439024,0.048780487804878,0.0476190476190476,0.048780487804878,0.0191304347826086,7.749535,-3.1842909999999995,193.529095,backtrader,10000.0,8.0,86,84,50,14230.805599999996,42.30805599999996,-17.00303520498655,83,2,36,2025-10-24,2026-08-21,False,,0.9,0.8113207547169812,876.5136,8.765136,2.917929,-5.0,True,high_return_low_coverage
no_eps,grid_sig_noeps_noind_prox_nodry_strict,True,False,none,False,True,True,True,False,False,3,37,30,89,16.7422235,7.749535,22.841494291666667,-12.411084,193.529095,11.304178,-40.091463,0.1123595505617977,0.1348314606741573,0.1348314606741573,0.0476190476190476,0.048780487804878,0.0585365853658536,0.0555555555555555,0.0585365853658536,0.0208695652173913,14.690217,-3.1842909999999995,193.529095,backtrader,10000.0,8.0,89,86,53,13885.133199999997,38.85133199999997,-17.009784364016344,94,3,37,2025-10-24,2026-08-21,True,3.0,0.925,0.839622641509434,530.8412,5.308412,2.91118,-4.0,True,high_return_low_coverage
no_eps,grid_act_noeps_ind_def_clean_strict,False,True,none,True,True,False,True,True,False,5,36,28,83,16.7422235,7.985445,28.17563129166667,-12.411084,193.529095,10.9246485,-40.091463,0.0963855421686747,0.1204819277108433,0.1325301204819277,0.0396825396825396,0.0390243902439024,0.048780487804878,0.0476190476190476,0.048780487804878,0.0191304347826086,10.151574875,-3.1842909999999995,193.529095,backtrader,10000.0,8.0,83,82,49,16466.0032,64.66003199999999,-10.869418044525458,83,2,36,2025-10-24,2026-08-21,False,,0.9,0.7830188679245284,3111.7112,31.117112,9.051546,-5.0,False,high_return_low_coverage
no_eps,grid_act_noeps_ind_prox_nodry_strict,False,True,none,True,True,True,True,False,False,5,37,30,87,18.0946405,8.171598583333333,23.462997,-12.411084,193.529095,12.0035625,-40.091463,0.1149425287356321,0.1379310344827586,0.1379310344827586,0.0476190476190476,0.048780487804878,0.0585365853658536,0.0555555555555555,0.0585365853658536,0.0208695652173913,15.658673333333333,-3.1842909999999995,193.529095,backtrader,10000.0,8.0,87,84,51,16094.4604,60.94460399999999,-10.873665016931476,95,3,37,2025-10-24,2026-08-21,True,3.0,0.925,0.8207547169811321,2740.1684,27.401684,9.047299,-4.0,False,high_return_low_coverage
no_eps,grid_act_noeps_noind_prox_clean_strict,False,True,none,False,True,True,True,True,False,5,36,28,86,15.1288965,7.193130999999999,24.56098825,-12.411084,193.529095,10.9246485,-40.091463,0.1046511627906976,0.1162790697674418,0.127906976744186,0.0476190476190476,0.0439024390243902,0.0536585365853658,0.0476190476190476,0.048780487804878,0.0191304347826086,8.850399,-3.1842909999999995,193.529095,backtrader,10000.0,8.0,86,85,51,14745.210399999996,47.45210399999997,-14.758864307386698,87,2,36,2025-10-24,2026-08-21,False,,0.9,0.8113207547169812,1390.9184,13.909184,5.1621,-5.0,False,high_return_low_coverage
no_eps,grid_sig_noeps_ind_prox_clean_strict,True,False,none,True,True,True,True,True,False,5,36,28,83,18.4141635,7.985445,28.17563129166667,-12.411084,193.529095,12.0305535,-40.091463,0.108433734939759,0.1204819277108433,0.1325301204819277,0.0476190476190476,0.0439024390243902,0.0536585365853658,0.0476190476190476,0.048780487804878,0.0191304347826086,12.2089833,-3.1842909999999995,193.529095,backtrader,10000.0,8.0,83,82,49,14722.6272,47.22627199999998,-14.748445951400669,83,2,36,2025-10-24,2026-08-21,False,,0.9,0.7830188679245284,1368.3352,13.683352,5.172518,-5.0,False,high_return_low_coverage
no_eps,grid_act_noeps_ind_prox_clean_strict,False,True,none,True,True,True,True,True,False,6,36,28,83,18.4141635,7.985445,28.17563129166667,-12.411084,193.529095,12.0305535,-40.091463,0.108433734939759,0.1204819277108433,0.1325301204819277,0.0476190476190476,0.0439024390243902,0.0536585365853658,0.0476190476190476,0.048780487804878,0.0191304347826086,12.2089833,-3.1842909999999995,193.529095,backtrader,10000.0,8.0,83,82,49,14722.6272,47.22627199999998,-14.748445951400669,83,2,36,2025-10-24,2026-08-21,False,,0.9,0.7830188679245284,1368.3352,13.683352,5.172518,-5.0,False,high_return_low_coverage
no_eps,grid_act_noeps_noind_def_clean_strict,False,True,none,False,True,False,True,True,False,4,36,28,86,15.1288965,7.640847875,24.56098825,-12.411084,193.529095,10.9246485,-40.091463,0.0930232558139534,0.1162790697674418,0.127906976744186,0.0396825396825396,0.0390243902439024,0.048780487804878,0.0476190476190476,0.048780487804878,0.0191304347826086,7.749535,-3.1842909999999995,193.529095,backtrader,10000.0,8.0,86,84,50,14230.805599999996,42.30805599999996,-17.00303520498655,83,2,36,2025-10-24,2026-08-21,False,,0.9,0.8113207547169812,876.5136,8.765136,2.917929,-5.0,False,high_return_low_coverage
