eps_mode,variant,weeks,valid_weeks,picks,median_week_avg_latest_return_pct,p25_week_avg_latest_return_pct,p75_week_avg_latest_return_pct,min_week_avg_latest_return_pct,max_week_avg_latest_return_pct,median_worst_pick_return_pct,min_worst_pick_return_pct,pick_top5_precision,pick_bottom5_precision_bad,pick_stop_rate,top3_coverage,top5_coverage,gain5_coverage,bottom3_exposure_vs_slots,bottom5_exposure_vs_slots,stop_exposure_vs_all_stops,rank_weighted_week_return_median,rank_weighted_week_return_min,rank_weighted_week_return_max
no_eps,v3_core_top3,40,35,106,15.567575999999999,7.6600635,23.2874465,-12.411083999999999,146.091373,10.710322,-40.091463,0.10377358490566038,0.16037735849056603,0.16981132075471697,0.03968253968253968,0.05365853658536585,0.06341463414634146,0.0873015873015873,0.08292682926829269,0.03130434782608696,15.079061799999998,-3.1842909999999995,125.1870222
no_eps,grid_act_noeps_ind_def_keep_strict,40,35,101,17.916871,7.906808333333333,26.415547250000003,-12.411083999999999,146.091373,10.710322,-40.091463,0.10891089108910891,0.16831683168316833,0.1782178217821782,0.03968253968253968,0.05365853658536585,0.06341463414634146,0.0873015873015873,0.08292682926829269,0.03130434782608696,15.563289966666666,-3.1842909999999995,125.1870222
no_eps,grid_act_noeps_ind_def_keep_relaxed,40,35,101,17.916871,7.906808333333333,26.415547250000003,-12.411083999999999,146.091373,10.710322,-40.091463,0.10891089108910891,0.16831683168316833,0.1782178217821782,0.03968253968253968,0.05365853658536585,0.06341463414634146,0.0873015873015873,0.08292682926829269,0.03130434782608696,15.563289966666666,-3.1842909999999995,125.1870222
no_eps,grid_act_noeps_ind_def_nodry_strict,37,30,87,17.977263999999998,7.828171666666666,22.841494291666667,-12.411083999999999,193.529095,11.304178,-40.091463,0.09195402298850575,0.13793103448275862,0.13793103448275862,0.031746031746031744,0.03902439024390244,0.04878048780487805,0.05555555555555555,0.05853658536585366,0.020869565217391306,14.690216999999999,-3.1842909999999995,193.529095
no_eps,grid_act_noeps_ind_def_nodry_relaxed,40,35,101,17.916871,7.906808333333333,26.415547250000003,-12.411083999999999,146.091373,10.710322,-40.091463,0.10891089108910891,0.16831683168316833,0.1782178217821782,0.03968253968253968,0.05365853658536585,0.06341463414634146,0.0873015873015873,0.08292682926829269,0.03130434782608696,15.677951999999998,-3.1842909999999995,125.1870222
no_eps,grid_act_noeps_ind_def_nogeom_strict,40,32,96,15.1288965,7.09466575,29.573808666666668,-12.411083999999999,146.091373,9.7167335,-40.091463,0.11458333333333333,0.16666666666666666,0.1875,0.047619047619047616,0.05365853658536585,0.06341463414634146,0.0873015873015873,0.07804878048780488,0.03130434782608696,10.151574875000001,-3.5604427999999997,125.1870222
no_eps,grid_act_noeps_ind_def_nogeom_relaxed,40,34,101,16.7422235,7.828171666666666,30.336332000000002,-12.411083999999999,146.091373,10.9246485,-40.091463,0.10891089108910891,0.16831683168316833,0.1782178217821782,0.047619047619047616,0.05365853658536585,0.06341463414634146,0.09523809523809523,0.08292682926829269,0.03130434782608696,14.5784603,-3.5604427999999997,125.1870222
no_eps,grid_act_noeps_ind_def_clean_strict,36,28,83,16.7422235,7.985445,28.17563129166667,-12.411083999999999,193.529095,10.9246485,-40.091463,0.0963855421686747,0.12048192771084337,0.13253012048192772,0.03968253968253968,0.03902439024390244,0.04878048780487805,0.047619047619047616,0.04878048780487805,0.019130434782608695,10.151574875000001,-3.1842909999999995,193.529095
no_eps,grid_act_noeps_ind_def_clean_relaxed,40,34,101,16.7422235,7.828171666666666,30.336332000000002,-12.411083999999999,146.091373,10.9246485,-40.091463,0.10891089108910891,0.15841584158415842,0.1782178217821782,0.047619047619047616,0.05365853658536585,0.06341463414634146,0.0873015873015873,0.07804878048780488,0.03130434782608696,14.5784603,-3.1842909999999995,125.1870222
no_eps,grid_act_noeps_ind_prox_keep_strict,40,35,101,18.037657,8.284235500000001,27.107606166666667,-12.411083999999999,111.86084266666667,11.898034,-40.091463,0.12871287128712872,0.16831683168316833,0.1782178217821782,0.05555555555555555,0.06341463414634146,0.07317073170731707,0.0873015873015873,0.08292682926829269,0.03130434782608696,15.677951999999998,-3.1842909999999995,125.1870222
no_eps,grid_act_noeps_ind_prox_keep_relaxed,40,35,101,18.037657,8.284235500000001,27.107606166666667,-12.411083999999999,111.86084266666667,11.898034,-40.091463,0.12871287128712872,0.16831683168316833,0.1782178217821782,0.05555555555555555,0.06341463414634146,0.07317073170731707,0.0873015873015873,0.08292682926829269,0.03130434782608696,15.677951999999998,-3.1842909999999995,125.1870222
no_eps,grid_act_noeps_ind_prox_nodry_strict,37,30,87,18.0946405,8.171598583333333,23.462997,-12.411083999999999,193.529095,12.003562500000001,-40.091463,0.11494252873563218,0.13793103448275862,0.13793103448275862,0.047619047619047616,0.04878048780487805,0.05853658536585366,0.05555555555555555,0.05853658536585366,0.020869565217391306,15.658673333333333,-3.1842909999999995,193.529095
