eps_mode,variant,snapshot_date,picks,avg_latest_return_pct,median_latest_return_pct,avg_max_gain_pct,worst_latest_return_pct,hit_latest_top3_count,hit_latest_top5_count,hit_gain_top5_count,hit_loss_bottom3_count,hit_loss_bottom5_count,stop_8pct_count,codes
no_eps,grid_act_noeps_ind_def_keep_strict,2026-06-12,3,23.6385475,23.6385475,30.2261135,11.898034,0,0,0,0,0,0,"MCS,EXPD,CWBC"
no_eps,grid_act_noeps_ind_def_keep_strict,2026-06-18,3,0.7579030000000001,-0.748904,11.589793,-7.777751,0,0,0,0,0,3,"AXGN,TER,ADI"
no_eps,grid_act_noeps_ind_def_keep_strict,2026-06-26,3,13.2917525,13.2917525,18.2066525,7.412021,0,0,0,0,0,0,"NWFL,STEL,ADPT"
no_eps,grid_act_noeps_ind_def_keep_strict,2026-07-02,3,2.7874974999999997,2.7874974999999997,10.773627000000001,-4.256385,0,0,0,0,0,1,"BSET,MPB,KYIV"
no_eps,grid_act_noeps_ind_def_keep_strict,2026-07-10,3,2.1911483333333335,2.121476,8.857292666666666,-0.253678,0,0,0,0,0,1,"BSVN,PHVS,PNTG"
no_eps,grid_act_noeps_ind_def_keep_strict,2026-07-17,3,3.300713,3.300713,11.361752,3.300713,0,0,0,0,0,0,"WTFC,KARO,HTO"
no_eps,grid_act_noeps_ind_def_keep_strict,2026-07-24,3,8.064081666666667,3.67665,11.090753000000001,2.115865,0,0,0,0,0,0,"PKG,PCAR,BLFS"
no_eps,grid_act_noeps_ind_def_keep_strict,2026-07-31,3,1.6224775,1.6224775,5.323926500000001,0.877963,0,0,0,0,0,0,"NBBK,SHOO,GSAT"
no_eps,grid_act_noeps_ind_def_keep_strict,2026-08-07,3,0.9667529999999999,1.253482,3.100608,-0.632788,0,0,0,0,0,0,"CFFI,MTUS,SWK"
no_eps,grid_act_noeps_ind_def_nodry_relaxed,2025-10-24,2,18.037657,18.037657,32.830465,18.037657,0,0,0,1,1,0,"IBM,AAPL"
no_eps,grid_act_noeps_ind_def_nodry_relaxed,2025-10-31,2,29.192547,29.192547,43.421796,29.192547,0,0,0,0,1,0,"VTR,SOFI"
no_eps,grid_act_noeps_ind_def_nodry_relaxed,2025-11-07,1,,,,,0,0,0,0,0,0,COLL
no_eps,grid_act_noeps_ind_def_nodry_relaxed,2025-11-14,3,22.9363455,22.9363455,28.1127145,21.893559,0,1,1,1,2,1,"ALL,LH,LYFT"
no_eps,grid_act_noeps_ind_def_nodry_relaxed,2025-11-21,1,,,,,0,0,0,0,0,0,WMT
no_eps,grid_act_noeps_ind_def_nodry_relaxed,2025-11-28,3,40.317969,40.317969,46.974723,40.317969,0,0,0,0,0,0,"ROST,WFC,MNST"
no_eps,grid_act_noeps_ind_def_nodry_relaxed,2025-12-05,1,,,,,0,0,0,0,0,0,DASH
no_eps,grid_act_noeps_ind_def_nodry_relaxed,2025-12-19,3,146.091373,146.091373,201.210184,14.207875,1,1,1,1,1,1,"SCHW,MU,PAC"
no_eps,grid_act_noeps_ind_def_nodry_relaxed,2025-12-26,2,14.690217,14.690217,15.360598,14.690217,0,0,0,1,1,1,"HEI,HUT"
no_eps,grid_act_noeps_ind_def_nodry_relaxed,2026-01-02,2,38.817439,38.817439,55.960017,38.817439,0,1,1,0,1,0,"TSM,BIDU"
no_eps,grid_act_noeps_ind_def_nodry_relaxed,2026-01-09,2,49.709551,49.709551,68.155414,49.709551,0,0,0,0,0,1,"VALE,GH"
no_eps,grid_act_noeps_ind_def_nodry_relaxed,2026-01-16,3,,,,,0,0,0,0,0,0,"BKR,SHEL,FE"
no_eps,grid_act_noeps_ind_def_nodry_relaxed,2026-01-23,2,18.911456,18.911456,19.65556,18.911456,0,0,0,1,1,1,"MTB,MDT"
no_eps,grid_act_noeps_ind_def_nodry_relaxed,2026-01-30,3,18.151624,18.151624,32.958715,18.151624,0,1,1,0,1,0,"HON,AAOI,AAPL"
no_eps,grid_act_noeps_ind_def_nodry_relaxed,2026-02-13,1,7.749535,7.749535,84.9969,7.749535,0,0,1,1,1,1,WULF
